image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_7645,384,24,43,145,94,70,23,0.6
Image_7095,384,24,35,116,76,52,21,0.6
Image_7661,384,24,30,41,36,12,18,0.7
Image_7662,384,24,47,35,41,17,11,0.8
Image_6661,384,24,11,12,12,12,72,0.7
Image_6660,384,24,279,30,154,130,5,0.5
Image_6659,384,24,40,323,182,158,2,0.6
Image_6658,384,24,15,9,12,12,0,0.8
Image_6657,384,24,25,25,25,1,13,0.8
Image_6656,384,24,29,30,30,6,13,0.9
Image_6655,384,24,9,73,41,17,100,0.1
Image_6653,384,24,17,21,19,5,21,0.9
Image_6652,384,24,41,79,60,36,9,0.8
Image_6651,384,24,40,151,96,72,1,0.3
Image_6650,384,24,75,90,82,58,7,0.4
Image_6649,384,24,17,46,32,8,47,0.5
Image_6648,384,24,20,19,20,4,7,0.6
Image_6645,384,24,34,32,33,9,10,0.9
Image_6644,384,24,6,12,9,15,51,0.8
Image_5944,384,24,40,57,48,24,0,0.6
Image_5940,384,24,78,79,78,54,2,0.6
Image_5939,384,24,83,133,108,84,2,0.6
Image_5938,384,24,57,88,72,48,21,0.7
Image_5936,384,24,54,69,62,38,1,0.8
Image_5934,384,24,61,84,72,48,11,0.6
Image_5933,384,24,79,44,62,38,11,0.5
Image_5932,384,24,99,64,82,58,13,0.7
Image_5931,384,24,86,137,112,88,1,0.3
Image_5930,384,24,65,71,68,44,22,0.4
Image_5929,384,24,32,57,44,20,15,0.9
Image_5926,384,24,42,73,58,34,0,0.7
Image_5925,384,24,138,98,118,94,8,0.4
Image_5924,384,24,101,103,102,78,11,0.4
Image_5923,384,24,81,68,74,50,21,0.3
Image_5922,384,24,26,36,31,7,17,0.6
Image_5921,384,24,51,76,64,40,18,0.7
Image_5918,384,24,72,53,62,38,3,0.5
Image_5917,384,24,53,74,64,40,7,0.6
Image_5915,384,24,49,56,52,28,6,0.6
