image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score
Image_7645,384,24,3,43,145,94,5.91,70,3.37,23,0.61,0.75
Image_7095,384,24,3,35,116,76,3.4,52,3.31,21,0.29,0.56
Image_7661,384,24,3,30,41,36,3.7,12,1.37,18,0.33,0.53
Image_7662,384,24,3,47,35,41,3.97,17,1.34,11,0.27,0.54
Image_6661,384,24,3,11,12,12,0.71,12,1.09,72,0.24,0.67
Image_6660,384,24,3,279,30,154,2.16,130,9.3,5,0.32,0.92
Image_6659,384,24,3,40,323,182,2.49,158,8.07,2,0.17,0.8
Image_6658,384,24,3,15,9,12,1.7,12,1.67,0,0.0,0.65
Image_6657,384,24,3,25,25,25,7.83,1,1.0,13,0.12,0.56
Image_6656,384,24,3,29,30,30,2.13,6,1.03,13,0.11,0.46
Image_6655,384,24,3,9,73,41,1.47,17,8.11,100,0.71,0.49
Image_6653,384,24,3,17,21,19,1.48,5,1.24,21,0.06,0.54
Image_6652,384,24,3,41,79,60,1.73,36,1.93,9,0.21,0.45
Image_6651,384,24,3,40,151,96,5.4,72,3.77,1,0.05,0.76
Image_6650,384,24,3,75,90,82,4.31,58,1.2,7,0.52,0.35
Image_6649,384,24,3,17,46,32,18.54,8,2.71,47,0.76,0.38
Image_6648,384,24,3,20,19,20,1.09,4,1.05,7,0.17,0.63
Image_6645,384,24,3,34,32,33,2.78,9,1.06,10,0.22,0.46
Image_6644,384,24,3,6,12,9,0.71,15,2.0,51,0.09,0.79
Image_5944,384,24,3,40,57,48,2.85,24,1.43,0,0.0,0.44
Image_5940,384,24,3,78,79,78,13.21,54,1.01,2,0.08,0.41
Image_5939,384,24,3,83,133,108,18.67,84,1.6,2,0.19,0.63
Image_5938,384,24,3,57,88,72,6.97,48,1.54,21,0.4,0.55
Image_5936,384,24,3,54,69,62,2.19,38,1.28,1,0.05,0.37
Image_5934,384,24,3,61,84,72,7.26,48,1.38,11,0.39,0.54
Image_5933,384,24,3,79,44,62,6.98,38,1.8,11,0.47,0.63
Image_5932,384,24,3,99,64,82,4.21,58,1.55,13,0.39,0.46
Image_5931,384,24,3,86,137,112,8.67,88,1.59,1,0.1,0.73
Image_5930,384,24,3,65,71,68,2.72,44,1.09,22,0.6,0.68
Image_5929,384,24,3,32,57,44,3.11,20,1.78,15,0.16,0.44
Image_5926,384,24,3,42,73,58,1.05,34,1.74,0,0.0,0.52
Image_5925,384,24,3,138,98,118,19.77,94,1.41,8,0.26,0.56
Image_5924,384,24,3,101,103,102,6.4,78,1.02,11,0.4,0.57
Image_5923,384,24,3,81,68,74,3.3,50,1.19,21,0.61,0.66
Image_5922,384,24,3,26,36,31,0.94,7,1.38,17,0.32,0.65
Image_5921,384,24,3,51,76,64,1.82,40,1.49,18,0.37,0.52
Image_5918,384,24,3,72,53,62,3.25,38,1.36,3,0.19,0.54
