object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nuts,45,Image_0_50,otm,32,3,0.936,1.0,0.967,15.425
Nuts,45,Image_0_50,gmms,32,3,0.979,0.978,0.978,12.199
Nuts,45,Image_0_50,hdbscan,32,3,1.0,0.239,0.386,13.852
Nuts,45,Image_1,otm,32,3,0.976,1.0,0.988,7.086
Nuts,45,Image_1,gmms,32,3,0.951,0.976,0.963,8.386
Nuts,45,Image_1,hdbscan,32,3,1.0,0.22,0.36,10.094
Nuts,45,Image_10,otm,32,3,0.921,1.0,0.959,7.717
Nuts,45,Image_10,gmms,32,3,0.895,0.974,0.933,7.888
Nuts,45,Image_10,hdbscan,32,3,1.0,0.184,0.311,8.876
Nuts,45,Image_2,otm,32,3,0.891,1.0,0.943,8.333
Nuts,45,Image_2,gmms,32,3,0.891,1.0,0.943,10.706
Nuts,45,Image_2,hdbscan,32,3,1.0,0.146,0.255,10.931
Nuts,45,Image_3,otm,32,3,0.921,1.0,0.959,8.377
Nuts,45,Image_3,gmms,32,3,0.868,1.0,0.93,8.625
Nuts,45,Image_3,hdbscan,32,3,1.0,0.389,0.56,8.763
Nuts,45,Image_4,otm,32,3,0.969,0.97,0.969,2.957
Nuts,45,Image_4,gmms,32,3,1.0,0.939,0.969,7.042
Nuts,45,Image_4,hdbscan,32,3,1.0,0.515,0.68,6.866
Nuts,45,Image_5,otm,32,3,1.0,0.912,0.954,6.476
Nuts,45,Image_5,gmms,32,3,1.0,0.912,0.954,6.158
Nuts,45,Image_5,hdbscan,32,3,1.0,0.559,0.717,6.841
Nuts,45,Image_6,otm,32,3,0.944,1.0,0.971,6.517
Nuts,45,Image_6,gmms,32,3,1.0,0.972,0.986,7.124
Nuts,45,Image_6,hdbscan,32,3,1.0,0.444,0.615,9.16
Nuts,45,Image_7,otm,32,3,1.0,0.857,0.923,4.363
Nuts,45,Image_7,gmms,32,3,1.0,0.821,0.902,5.746
Nuts,45,Image_7,hdbscan,32,3,1.0,0.179,0.303,5.677
Nuts,45,Image_8,otm,32,3,0.968,1.0,0.984,4.365
Nuts,45,Image_8,gmms,32,3,0.968,0.967,0.967,6.286
Nuts,45,Image_8,hdbscan,32,3,1.0,0.233,0.378,6.85
Nuts,45,Image_9,otm,32,3,0.868,1.0,0.93,9.836
Nuts,45,Image_9,gmms,32,3,0.974,0.974,0.974,9.141
Nuts,45,Image_9,hdbscan,32,3,1.0,0.105,0.19,9.645
Nails_23,28,Image_0_30,otm,32,3,0.42,1.0,0.591,290.06
Nails_23,28,Image_0_30,gmms,32,3,0.446,0.99,0.615,210.345
Nails_23,28,Image_0_30,hdbscan,32,3,0.0,0.014,0.0,93.469
Nails_23,28,Image_1,otm,32,3,0.308,1.0,0.471,252.736
Nails_23,28,Image_1,gmms,32,3,0.354,0.994,0.522,141.837
Nails_23,28,Image_1,hdbscan,32,3,0.167,0.036,0.06,62.638
Nails_23,28,Image_10,otm,32,3,0.387,1.0,0.558,362.642
Nails_23,28,Image_10,gmms,32,3,0.409,0.994,0.58,173.067
Nails_23,28,Image_10,hdbscan,32,3,0.0,0.023,0.0,79.112
Nails_23,28,Image_2,otm,32,3,0.645,0.899,0.751,255.315
Nails_23,28,Image_2,gmms,32,3,0.595,0.899,0.716,151.921
Nails_23,28,Image_2,hdbscan,32,3,0.0,0.021,0.0,90.434
Nails_23,28,Image_3,otm,32,3,0.482,1.0,0.651,245.299
Nails_23,28,Image_3,gmms,32,3,0.574,0.995,0.728,123.567
Nails_23,28,Image_3,hdbscan,32,3,1.0,0.011,0.022,57.95
Nails_23,28,Image_4,otm,32,3,0.315,1.0,0.48,483.095
Nails_23,28,Image_4,gmms,32,3,0.325,0.989,0.489,268.811
Nails_23,28,Image_4,hdbscan,32,3,0.5,0.011,0.022,106.476
Nails_23,28,Image_5,otm,32,3,0.302,1.0,0.464,340.176
Nails_23,28,Image_5,gmms,32,3,0.339,0.988,0.504,145.961
Nails_23,28,Image_5,hdbscan,32,3,0.0,0.018,0.0,66.316
Nails_23,28,Image_6,otm,32,3,0.537,1.0,0.699,225.063
Nails_23,28,Image_6,gmms,32,3,0.595,0.995,0.745,97.587
Nails_23,28,Image_6,hdbscan,32,3,0.667,0.033,0.063,56.051
Nails_23,28,Image_7,otm,32,3,0.336,1.0,0.502,338.372
Nails_23,28,Image_7,gmms,32,3,0.36,1.0,0.529,184.225
Nails_23,28,Image_7,hdbscan,32,3,0.0,0.012,0.0,82.856
Nails_23,28,Image_8,otm,32,3,0.525,1.0,0.688,235.996
Nails_23,28,Image_8,gmms,32,3,0.532,0.994,0.693,113.071
Nails_23,28,Image_8,hdbscan,32,3,0.5,0.024,0.045,55.277
Nails_23,28,Image_9,otm,32,3,0.296,1.0,0.457,379.793
Nails_23,28,Image_9,gmms,32,3,0.3,0.988,0.46,318.465
Nails_23,28,Image_9,hdbscan,32,3,0.0,0.006,0.0,114.276
Nails_23,384,Image_0_30,otm,32,3,0.081,1.0,0.15,153.293
Nails_23,384,Image_0_30,gmms,32,3,0.081,1.0,0.15,85.289
Nails_23,384,Image_0_30,hdbscan,32,3,1.0,0.095,0.174,59.546
Nails_23,384,Image_1,otm,32,3,0.09,1.0,0.165,107.437
Nails_23,384,Image_1,gmms,32,3,0.09,1.0,0.165,75.382
Nails_23,384,Image_1,hdbscan,32,3,1.0,0.091,0.167,35.585
Nails_23,384,Image_10,otm,32,3,0.076,1.0,0.142,225.998
Nails_23,384,Image_10,gmms,32,3,0.076,1.0,0.142,105.466
Nails_23,384,Image_10,hdbscan,32,3,0.8,0.2,0.32,42.186
Nails_23,384,Image_2,otm,32,3,0.113,1.0,0.203,110.569
Nails_23,384,Image_2,gmms,32,3,0.113,1.0,0.203,52.233
Nails_23,384,Image_2,hdbscan,32,3,1.0,0.143,0.25,27.529
Nails_23,384,Image_3,otm,32,3,0.072,1.0,0.135,175.865
Nails_23,384,Image_3,gmms,32,3,0.072,1.0,0.135,103.248
Nails_23,384,Image_3,hdbscan,32,3,1.0,0.095,0.174,52.64
Nails_23,384,Image_4,otm,32,3,0.067,1.0,0.126,199.354
Nails_23,384,Image_4,gmms,32,3,0.067,1.0,0.126,112.652
Nails_23,384,Image_4,hdbscan,32,3,1.0,0.136,0.24,46.927
Nails_23,384,Image_5,otm,32,3,0.072,1.0,0.134,195.689
Nails_23,384,Image_5,gmms,32,3,0.072,1.0,0.134,117.31
Nails_23,384,Image_5,hdbscan,32,3,0.5,0.087,0.148,47.417
Nails_23,384,Image_6,otm,32,3,0.071,1.0,0.133,172.751
Nails_23,384,Image_6,gmms,32,3,0.075,0.957,0.139,107.555
Nails_23,384,Image_6,hdbscan,32,3,1.0,0.087,0.16,45.978
Nails_23,384,Image_7,otm,32,3,0.063,1.0,0.118,217.362
Nails_23,384,Image_7,gmms,32,3,0.063,0.952,0.118,122.883
Nails_23,384,Image_7,hdbscan,32,3,1.0,0.095,0.174,45.923
Nails_23,384,Image_8,otm,32,3,0.063,1.0,0.119,236.102
Nails_23,384,Image_8,gmms,32,3,0.063,1.0,0.119,109.494
Nails_23,384,Image_8,hdbscan,32,3,0.0,0.045,0.0,43.549
Nails_23,384,Image_9,otm,32,3,0.073,1.0,0.136,202.494
Nails_23,384,Image_9,gmms,32,3,0.073,0.957,0.136,116.837
Nails_23,384,Image_9,hdbscan,32,3,1.0,0.087,0.16,44.649
Nails_23,45,Image_0_30,otm,32,3,0.156,1.0,0.27,159.386
Nails_23,45,Image_0_30,gmms,32,3,0.177,1.0,0.3,130.797
Nails_23,45,Image_0_30,hdbscan,32,3,0.667,0.044,0.083,48.408
Nails_23,45,Image_1,otm,32,3,0.217,1.0,0.357,135.593
Nails_23,45,Image_1,gmms,32,3,0.221,1.0,0.362,80.543
Nails_23,45,Image_1,hdbscan,32,3,0.5,0.065,0.114,30.91
Nails_23,45,Image_10,otm,32,3,0.168,1.0,0.288,385.088
Nails_23,45,Image_10,gmms,32,3,0.173,0.976,0.293,190.161
Nails_23,45,Image_10,hdbscan,32,3,0.333,0.11,0.165,53.314
Nails_23,45,Image_2,otm,32,3,0.386,1.0,0.557,109.374
Nails_23,45,Image_2,gmms,32,3,0.486,1.0,0.654,45.672
Nails_23,45,Image_2,hdbscan,32,3,0.833,0.088,0.16,24.517
Nails_23,45,Image_3,otm,32,3,0.133,1.0,0.234,348.4
Nails_23,45,Image_3,gmms,32,3,0.133,1.0,0.234,239.314
Nails_23,45,Image_3,hdbscan,32,3,0.75,0.057,0.106,63.965
Nails_23,45,Image_4,otm,32,3,0.17,1.0,0.291,298.243
Nails_23,45,Image_4,gmms,32,3,0.173,0.986,0.294,137.095
Nails_23,45,Image_4,hdbscan,32,3,1.0,0.069,0.13,45.682
Nails_23,45,Image_5,otm,32,3,0.132,1.0,0.233,426.708
Nails_23,45,Image_5,gmms,32,3,0.132,0.972,0.232,207.258
Nails_23,45,Image_5,hdbscan,32,3,0.6,0.069,0.124,64.794
Nails_23,68,Image_0_30,otm,32,3,0.149,1.0,0.259,227.402
Nails_23,68,Image_0_30,gmms,32,3,0.161,1.0,0.278,110.39
