object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.564,0.396,0.465,154.943
Nails_23,28,Image_1,otm,32,3,0.444,0.315,0.369,80.275
Nails_23,28,Image_10,otm,32,3,0.531,0.391,0.45,109.681
Nails_23,28,Image_2,otm,32,3,0.585,0.479,0.527,215.082
Nails_23,28,Image_3,otm,32,3,0.884,0.462,0.606,90.619
Nails_23,28,Image_4,otm,32,3,0.462,0.351,0.399,118.048
Nails_23,28,Image_5,otm,32,3,0.342,0.234,0.278,100.118
Nails_23,28,Image_6,otm,32,3,0.681,0.423,0.522,108.927
Nails_23,28,Image_7,otm,32,3,0.641,0.439,0.521,104.918
Nails_23,28,Image_8,otm,32,3,0.779,0.482,0.596,91.703
Nails_23,28,Image_9,otm,32,3,0.702,0.442,0.543,73.756
Nails_23,384,Image_0_30,otm,32,3,1.0,0.524,0.688,5.475
Nails_23,384,Image_1,otm,32,3,0.889,0.364,0.516,3.094
Nails_23,384,Image_10,otm,32,3,0.615,0.32,0.421,7.099
Nails_23,384,Image_2,otm,32,3,0.667,0.286,0.4,3.438
Nails_23,384,Image_3,otm,32,3,0.615,0.381,0.471,6.634
Nails_23,384,Image_4,otm,32,3,0.769,0.455,0.571,6.103
Nails_23,384,Image_5,otm,32,3,0.32,0.348,0.333,13.728
Nails_23,384,Image_6,otm,32,3,0.333,0.217,0.263,7.799
Nails_23,384,Image_7,otm,32,3,0.2,0.143,0.167,8.429
Nails_23,384,Image_8,otm,32,3,0.556,0.227,0.323,3.432
Nails_23,384,Image_9,otm,32,3,0.769,0.435,0.556,4.605
Nails_23,45,Image_0_30,otm,32,3,0.429,0.132,0.202,12.451
Nails_23,45,Image_1,otm,32,3,0.467,0.113,0.182,7.133
Nails_23,45,Image_10,otm,32,3,0.533,0.195,0.286,27.439
Nails_23,45,Image_2,otm,32,3,0.818,0.265,0.4,16.018
Nails_23,45,Image_3,otm,32,3,0.538,0.2,0.292,14.783
Nails_23,45,Image_4,otm,32,3,0.727,0.222,0.34,15.184
Nails_23,45,Image_5,otm,32,3,0.667,0.222,0.333,17.431
Nails_23,45,Image_6,otm,32,3,0.789,0.203,0.323,11.524
Nails_23,45,Image_7,otm,32,3,0.808,0.309,0.447,18.463
Nails_23,45,Image_8,otm,32,3,0.792,0.279,0.413,18.085
Nails_23,45,Image_9,otm,32,3,0.76,0.257,0.384,16.01
