object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nuts,384,Image_0_50,otm,48,3,0.059,1.0,0.112,274.468
Nuts,384,Image_1,otm,48,3,0.066,1.0,0.124,275.79
Nuts,384,Image_10,otm,48,3,0.048,1.0,0.092,244.593
Nuts,384,Image_2,otm,48,3,0.042,1.0,0.08,278.878
Nuts,384,Image_3,otm,48,3,0.06,1.0,0.112,348.778
Nuts,384,Image_4,otm,48,3,0.053,1.0,0.1,311.742
Nuts,384,Image_5,otm,48,3,0.057,1.0,0.108,317.318
Nuts,384,Image_6,otm,48,3,0.063,1.0,0.118,304.83
Nuts,384,Image_7,otm,48,3,0.038,1.0,0.073,296.538
Nuts,384,Image_8,otm,48,3,0.072,1.0,0.135,318.427
Nuts,384,Image_9,otm,48,3,0.038,1.0,0.074,214.191
Nails_23,28,Image_0_30,otm,48,3,0.242,0.917,0.383,178.683
Nails_23,28,Image_0_30,gmms,48,3,0.239,0.913,0.378,811.235
Nails_23,28,Image_0_30,hdbscan,48,3,0.0,0.007,0.0,589.285
Nails_23,28,Image_1,otm,48,3,0.238,1.0,0.385,285.82
Nails_23,28,Image_1,gmms,48,3,0.227,1.0,0.37,793.496
Nails_23,28,Image_1,hdbscan,48,3,0.0,0.012,0.0,640.743
Nails_23,28,Image_10,otm,48,3,0.342,1.0,0.509,199.746
Nails_23,28,Image_10,gmms,48,3,0.331,0.994,0.497,676.603
Nails_23,28,Image_10,hdbscan,48,3,0.0,0.011,0.0,465.266
Nails_23,28,Image_2,otm,48,3,0.265,1.0,0.418,224.862
Nails_23,28,Image_2,gmms,48,3,0.265,1.0,0.418,751.841
Nails_23,28,Image_2,hdbscan,48,3,0.5,0.007,0.014,563.394
Nails_23,28,Image_3,otm,48,3,0.506,1.0,0.672,191.299
Nails_23,28,Image_3,gmms,48,3,0.443,1.0,0.614,649.986
Nails_23,28,Image_3,hdbscan,48,3,0.0,0.011,0.0,481.507
Nails_23,28,Image_4,otm,48,3,0.286,1.0,0.445,244.578
