object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.388,0.67,0.492,358.332
Nails_23,28,Image_1,otm,32,3,0.321,0.873,0.47,262.352
Nails_23,28,Image_10,otm,32,3,0.351,0.937,0.511,358.746
Nails_23,28,Image_2,otm,32,3,0.547,0.587,0.566,266.725
Nails_23,28,Image_3,otm,32,3,0.475,0.742,0.579,216.593
Nails_23,28,Image_4,otm,32,3,0.275,0.914,0.422,500.7
Nails_23,28,Image_5,otm,32,3,0.315,0.813,0.454,315.674
Nails_23,28,Image_6,otm,32,3,0.502,0.852,0.631,220.851
Nails_23,28,Image_7,otm,32,3,0.328,0.906,0.481,391.764
Nails_23,28,Image_8,otm,32,3,0.42,0.923,0.577,255.335
Nails_23,28,Image_9,otm,32,3,0.334,0.97,0.497,338.5
Nails_23,384,Image_0_30,otm,32,3,0.073,1.0,0.135,116.158
Nails_23,384,Image_1,otm,32,3,0.078,1.0,0.145,73.805
Nails_23,384,Image_10,otm,32,3,0.066,1.0,0.123,173.936
Nails_23,384,Image_2,otm,32,3,0.092,1.0,0.168,86.916
Nails_23,384,Image_3,otm,32,3,0.063,1.0,0.119,178.279
Nails_23,384,Image_4,otm,32,3,0.063,1.0,0.119,180.873
Nails_23,384,Image_5,otm,32,3,0.067,1.0,0.126,154.294
Nails_23,384,Image_6,otm,32,3,0.065,0.957,0.122,154.764
Nails_23,384,Image_7,otm,32,3,0.059,1.0,0.112,151.117
Nails_23,384,Image_8,otm,32,3,0.06,1.0,0.113,147.195
Nails_23,384,Image_9,otm,32,3,0.066,1.0,0.124,147.812
Nails_23,45,Image_0_30,otm,32,3,0.159,0.912,0.271,177.041
Nails_23,45,Image_1,otm,32,3,0.174,1.0,0.296,127.955
Nails_23,45,Image_10,otm,32,3,0.139,0.988,0.243,199.974
Nails_23,45,Image_2,otm,32,3,0.373,0.912,0.53,86.766
Nails_23,45,Image_3,otm,32,3,0.128,1.0,0.226,261.871
Nails_23,45,Image_4,otm,32,3,0.164,0.972,0.28,216.232
Nails_23,45,Image_5,otm,32,3,0.128,1.0,0.227,299.732
Nails_23,45,Image_6,otm,32,3,0.147,1.0,0.257,260.909
Nails_23,45,Image_7,otm,32,3,0.147,1.0,0.256,240.328
Nails_23,45,Image_8,otm,32,3,0.133,1.0,0.235,236.688
Nails_23,45,Image_9,otm,32,3,0.13,1.0,0.23,370.779
Nails_23,68,Image_0_30,otm,32,3,0.144,0.98,0.251,192.44
Nails_23,68,Image_1,otm,32,3,0.202,0.981,0.336,113.511
Nails_23,68,Image_10,otm,32,3,0.087,1.0,0.16,316.105
Nails_23,68,Image_2,otm,32,3,0.269,0.961,0.421,98.973
Nails_23,68,Image_3,otm,32,3,0.088,1.0,0.162,294.512
Nails_23,68,Image_4,otm,32,3,0.099,1.0,0.18,190.265
Nails_23,68,Image_5,otm,32,3,0.094,1.0,0.171,315.251
Nails_23,68,Image_6,otm,32,3,0.109,1.0,0.197,200.8
Nails_23,68,Image_7,otm,32,3,0.09,1.0,0.166,243.19
Nails_23,68,Image_8,otm,32,3,0.082,1.0,0.152,229.994
Nails_23,68,Image_9,otm,32,3,0.101,1.0,0.184,211.814
Nails_32,28,Image_0_30,otm,32,3,0.49,0.788,0.605,310.738
Nails_32,28,Image_1,otm,32,3,0.346,0.927,0.504,243.949
Nails_32,28,Image_10,otm,32,3,0.404,0.891,0.556,257.584
Nails_32,28,Image_2,otm,32,3,0.627,0.719,0.67,264.635
Nails_32,28,Image_3,otm,32,3,0.613,0.791,0.691,190.186
Nails_32,28,Image_4,otm,32,3,0.329,0.948,0.488,419.892
Nails_32,28,Image_5,otm,32,3,0.383,0.936,0.543,261.468
Nails_32,28,Image_6,otm,32,3,0.473,0.863,0.611,219.583
Nails_32,28,Image_7,otm,32,3,0.405,0.918,0.562,260.033
Nails_32,28,Image_8,otm,32,3,0.492,0.75,0.594,155.851
Nails_32,28,Image_9,otm,32,3,0.284,0.958,0.438,377.937
Nails_32,384,Image_0_30,otm,32,3,0.063,1.0,0.118,145.236
Nails_32,384,Image_1,otm,32,3,0.072,1.0,0.134,90.958
Nails_32,384,Image_10,otm,32,3,0.07,1.0,0.131,153.872
Nails_32,384,Image_2,otm,32,3,0.082,1.0,0.152,103.317
Nails_32,384,Image_3,otm,32,3,0.067,1.0,0.126,86.215
Nails_32,384,Image_4,otm,32,3,0.065,1.0,0.123,109.591
Nails_32,384,Image_5,otm,32,3,0.068,1.0,0.127,147.867
Nails_32,384,Image_6,otm,32,3,0.064,0.957,0.121,156.728
Nails_32,384,Image_7,otm,32,3,0.063,1.0,0.119,141.449
Nails_32,384,Image_8,otm,32,3,0.06,1.0,0.113,152.951
Nails_32,384,Image_9,otm,32,3,0.063,1.0,0.118,160.133
Nails_32,45,Image_0_30,otm,32,3,0.14,1.0,0.246,236.803
Nails_32,45,Image_1,otm,32,3,0.217,0.968,0.354,102.308
Nails_32,45,Image_10,otm,32,3,0.157,0.927,0.268,280.829
Nails_32,45,Image_2,otm,32,3,0.252,0.941,0.398,165.381
Nails_32,45,Image_3,otm,32,3,0.133,1.0,0.234,346.823
Nails_32,45,Image_4,otm,32,3,0.136,0.958,0.239,299.941
Nails_32,45,Image_5,otm,32,3,0.141,1.0,0.247,293.233
Nails_32,45,Image_6,otm,32,3,0.137,1.0,0.241,315.99
Nails_32,45,Image_7,otm,32,3,0.127,1.0,0.225,318.988
Nails_32,45,Image_8,otm,32,3,0.136,0.985,0.24,246.44
Nails_32,45,Image_9,otm,32,3,0.128,1.0,0.228,330.232
Nails_32,68,Image_0_30,otm,32,3,0.106,1.0,0.192,280.786
Nails_32,68,Image_1,otm,32,3,0.216,0.981,0.354,136.847
Nails_32,68,Image_10,otm,32,3,0.093,0.981,0.17,280.233
Nails_32,68,Image_2,otm,32,3,0.181,0.941,0.304,137.937
Nails_32,68,Image_3,otm,32,3,0.1,1.0,0.182,268.508
Nails_32,68,Image_4,otm,32,3,0.105,1.0,0.189,247.475
Nails_32,68,Image_5,otm,32,3,0.126,1.0,0.223,188.768
Nails_32,68,Image_6,otm,32,3,0.101,1.0,0.183,220.278
Nails_32,68,Image_7,otm,32,3,0.083,1.0,0.154,272.039
Nails_32,68,Image_8,otm,32,3,0.103,1.0,0.187,203.371
Nails_32,68,Image_9,otm,32,3,0.108,1.0,0.194,211.487
Nuts,28,Image_0_50,otm,32,3,0.82,0.965,0.886,19.321
Nuts,28,Image_1,otm,32,3,0.755,0.909,0.825,21.584
Nuts,28,Image_10,otm,32,3,0.838,0.976,0.902,19.009
Nuts,28,Image_2,otm,32,3,0.798,0.978,0.879,23.299
Nuts,28,Image_3,otm,32,3,0.827,0.956,0.887,18.474
Nuts,28,Image_4,otm,32,3,0.824,0.944,0.88,17.122
Nuts,28,Image_5,otm,32,3,0.82,0.869,0.844,13.026
Nuts,28,Image_6,otm,32,3,0.883,0.976,0.927,19.585
Nuts,28,Image_7,otm,32,3,0.814,0.954,0.878,19.939
