object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,64,3,0.582,0.444,0.504,190.744
Nails_23,28,Image_1,otm,64,3,0.398,0.4,0.399,102.413
Nails_23,28,Image_10,otm,64,3,0.571,0.557,0.564,153.464
Nails_23,28,Image_2,otm,64,3,0.595,0.51,0.55,247.333
Nails_23,28,Image_3,otm,64,3,0.847,0.549,0.667,92.883
Nails_23,28,Image_4,otm,64,3,0.507,0.42,0.459,124.831
Nails_23,28,Image_5,otm,64,3,0.537,0.421,0.472,110.952
Nails_23,28,Image_6,otm,64,3,0.694,0.511,0.589,126.08
Nails_23,28,Image_7,otm,64,3,0.49,0.567,0.526,179.488
Nails_23,28,Image_8,otm,64,3,0.552,0.571,0.561,153.355
Nails_23,28,Image_9,otm,64,3,0.639,0.612,0.625,149.953
Nails_23,384,Image_0_30,otm,64,3,0.339,1.0,0.506,41.564
Nails_23,384,Image_1,otm,64,3,0.429,0.955,0.592,23.09
Nails_23,384,Image_10,otm,64,3,0.364,0.96,0.527,36.363
Nails_23,384,Image_2,otm,64,3,0.5,0.952,0.656,15.183
Nails_23,384,Image_3,otm,64,3,0.339,0.952,0.5,44.292
Nails_23,384,Image_4,otm,64,3,0.314,1.0,0.478,32.949
Nails_23,384,Image_5,otm,64,3,0.258,1.0,0.411,82.352
Nails_23,384,Image_6,otm,64,3,0.272,0.957,0.423,70.466
Nails_23,384,Image_7,otm,64,3,0.265,0.857,0.404,35.125
Nails_23,384,Image_8,otm,64,3,0.237,1.0,0.383,75.178
Nails_23,384,Image_9,otm,64,3,0.343,1.0,0.511,36.896
Nails_23,45,Image_0_30,otm,64,3,0.246,0.221,0.233,34.267
Nails_23,45,Image_1,otm,64,3,0.542,0.419,0.473,15.376
Nails_23,45,Image_10,otm,64,3,0.468,0.451,0.46,41.48
Nails_23,45,Image_2,otm,64,3,0.875,0.515,0.648,15.658
Nails_23,45,Image_3,otm,64,3,0.605,0.743,0.667,41.008
Nails_23,45,Image_4,otm,64,3,0.75,0.542,0.629,32.092
Nails_23,45,Image_5,otm,64,3,0.732,0.417,0.531,21.615
Nails_23,45,Image_6,otm,64,3,0.594,0.554,0.573,31.777
Nails_23,45,Image_7,otm,64,3,0.585,0.809,0.679,74.076
Nails_23,45,Image_8,otm,64,3,0.641,0.735,0.685,39.877
Nails_23,45,Image_9,otm,64,3,0.692,0.73,0.711,45.074
Nails_23,68,Image_0_30,otm,64,3,0.714,0.49,0.581,13.595
Nails_23,68,Image_1,otm,64,3,0.529,0.519,0.524,23.078
Nails_23,68,Image_10,otm,64,3,0.535,0.885,0.667,50.217
Nails_23,68,Image_2,otm,64,3,0.569,0.569,0.569,32.591
Nails_23,68,Image_3,otm,64,3,0.49,0.961,0.649,70.729
Nails_23,68,Image_4,otm,64,3,0.51,0.961,0.667,68.752
Nails_23,68,Image_5,otm,64,3,0.5,0.542,0.52,35.67
Nails_23,68,Image_6,otm,64,3,0.513,0.848,0.639,39.227
Nails_23,68,Image_7,otm,64,3,0.4,1.0,0.571,91.349
Nails_23,68,Image_8,otm,64,3,0.446,0.978,0.612,70.247
Nails_23,68,Image_9,otm,64,3,0.494,0.796,0.609,47.621
Nails_32,28,Image_0_30,otm,64,3,0.662,0.524,0.585,173.379
Nails_32,28,Image_1,otm,64,3,0.476,0.539,0.506,123.781
Nails_32,28,Image_10,otm,64,3,0.573,0.27,0.367,74.567
Nails_32,28,Image_2,otm,64,3,0.673,0.486,0.565,204.746
Nails_32,28,Image_3,otm,64,3,0.932,0.379,0.539,36.717
Nails_32,28,Image_4,otm,64,3,0.797,0.362,0.498,72.206
Nails_32,28,Image_5,otm,64,3,0.762,0.468,0.58,82.122
Nails_32,28,Image_6,otm,64,3,0.689,0.39,0.498,85.606
Nails_32,28,Image_7,otm,64,3,0.556,0.409,0.471,119.942
Nails_32,28,Image_8,otm,64,3,0.714,0.417,0.526,80.675
Nails_32,28,Image_9,otm,64,3,0.465,0.57,0.512,166.079
Nails_32,384,Image_0_30,otm,64,3,0.364,0.952,0.526,29.581
Nails_32,384,Image_1,otm,64,3,0.364,0.909,0.519,20.945
Nails_32,384,Image_10,otm,64,3,0.436,0.96,0.6,33.209
Nails_32,384,Image_2,otm,64,3,0.525,1.0,0.689,14.743
Nails_32,384,Image_3,otm,64,3,0.389,1.0,0.56,29.111
Nails_32,384,Image_4,otm,64,3,0.449,1.0,0.62,23.979
Nails_32,384,Image_5,otm,64,3,0.299,1.0,0.46,41.088
Nails_32,384,Image_6,otm,64,3,0.34,0.783,0.474,27.968
Nails_32,384,Image_7,otm,64,3,0.292,0.905,0.442,28.621
Nails_32,384,Image_8,otm,64,3,0.447,0.955,0.609,21.672
Nails_32,384,Image_9,otm,64,3,0.385,0.87,0.533,25.764
