object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.349,0.594,0.44,459.175
Nails_23,28,Image_1,otm,32,3,0.272,0.836,0.411,405.328
Nails_23,28,Image_10,otm,32,3,0.211,0.954,0.346,511.114
Nails_23,28,Image_2,otm,32,3,0.467,0.566,0.512,369.143
Nails_23,28,Image_3,otm,32,3,0.265,0.989,0.419,513.382
Nails_23,28,Image_4,otm,32,3,0.2,0.925,0.329,686.902
Nails_23,28,Image_5,otm,32,3,0.199,0.942,0.329,621.337
Nails_23,28,Image_6,otm,32,3,0.352,0.94,0.512,405.354
Nails_23,28,Image_7,otm,32,3,0.223,0.988,0.364,542.403
Nails_23,28,Image_8,otm,32,3,0.246,0.97,0.392,537.567
Nails_23,28,Image_9,otm,32,3,0.211,1.0,0.348,630.238
Nails_23,384,Image_0_30,otm,32,3,0.058,1.0,0.109,148.9
Nails_23,384,Image_1,otm,32,3,0.058,1.0,0.109,188.279
Nails_23,384,Image_10,otm,32,3,0.072,1.0,0.134,194.791
Nails_23,384,Image_2,otm,32,3,0.074,1.0,0.138,150.21
Nails_23,384,Image_3,otm,32,3,0.063,1.0,0.118,164.739
Nails_23,384,Image_4,otm,32,3,0.058,1.0,0.11,194.178
Nails_23,384,Image_5,otm,32,3,0.074,1.0,0.138,199.399
Nails_23,384,Image_6,otm,32,3,0.064,0.957,0.12,195.297
Nails_23,384,Image_7,otm,32,3,0.059,1.0,0.112,184.809
Nails_23,384,Image_8,otm,32,3,0.056,1.0,0.107,177.686
Nails_23,384,Image_9,otm,32,3,0.069,1.0,0.129,194.257
Nails_23,45,Image_0_30,otm,32,3,0.095,0.971,0.174,392.343
Nails_23,45,Image_1,otm,32,3,0.127,0.984,0.224,129.414
Nails_23,45,Image_10,otm,32,3,0.087,0.988,0.16,604.734
Nails_23,45,Image_2,otm,32,3,0.108,1.0,0.194,414.48
Nails_23,45,Image_3,otm,32,3,0.08,1.0,0.148,495.177
Nails_23,45,Image_4,otm,32,3,0.087,1.0,0.161,440.712
Nails_23,45,Image_5,otm,32,3,0.078,1.0,0.144,618.238
Nails_23,45,Image_6,otm,32,3,0.089,1.0,0.164,561.691
Nails_23,45,Image_7,otm,32,3,0.078,1.0,0.145,576.414
Nails_23,45,Image_8,otm,32,3,0.075,1.0,0.14,545.125
Nails_23,45,Image_9,otm,32,3,0.086,1.0,0.158,578.385
Nails_23,68,Image_0_30,otm,32,3,0.069,1.0,0.129,400.312
Nails_23,68,Image_1,otm,32,3,0.07,1.0,0.13,234.496
Nails_23,68,Image_10,otm,32,3,0.057,0.981,0.107,468.472
Nails_23,68,Image_2,otm,32,3,0.065,1.0,0.122,493.041
Nails_23,68,Image_3,otm,32,3,0.056,1.0,0.106,458.206
Nails_23,68,Image_4,otm,32,3,0.052,1.0,0.098,596.974
Nails_23,68,Image_5,otm,32,3,0.061,1.0,0.115,458.188
Nails_23,68,Image_6,otm,32,3,0.06,1.0,0.113,427.006
Nails_23,68,Image_7,otm,32,3,0.048,1.0,0.091,577.431
Nails_23,68,Image_8,otm,32,3,0.055,1.0,0.104,409.516
