object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nuts,68,Image_0_50,otm,32,3,1.0,0.789,0.882,12.889
Nuts,68,Image_1,otm,32,3,1.0,0.828,0.906,7.868
Nuts,68,Image_10,otm,32,3,1.0,0.8,0.889,7.745
Nuts,68,Image_2,otm,32,3,1.0,0.8,0.889,6.073
Nuts,68,Image_3,otm,32,3,1.0,0.808,0.894,5.207
Nuts,68,Image_4,otm,32,3,1.0,0.769,0.87,3.186
Nuts,68,Image_5,otm,32,3,1.0,0.774,0.873,6.767
Nuts,68,Image_6,otm,32,3,1.0,0.759,0.863,6.895
Nuts,68,Image_7,otm,32,3,1.0,0.812,0.897,2.76
Nuts,68,Image_8,otm,32,3,1.0,0.8,0.889,5.98
Nuts,68,Image_9,otm,32,3,1.0,0.818,0.9,5.845
Nails_23,28,Image_0_30,otm,32,3,0.57,0.424,0.486,171.021
Nails_23,28,Image_1,otm,32,3,0.466,0.412,0.437,94.518
Nails_23,28,Image_10,otm,32,3,0.6,0.414,0.49,114.438
Nails_23,28,Image_2,otm,32,3,0.634,0.5,0.559,198.666
Nails_23,28,Image_3,otm,32,3,0.901,0.5,0.643,72.365
Nails_23,28,Image_4,otm,32,3,0.596,0.483,0.533,125.361
Nails_23,28,Image_5,otm,32,3,0.5,0.292,0.369,78.963
Nails_23,28,Image_6,otm,32,3,0.767,0.434,0.554,87.277
Nails_23,28,Image_7,otm,32,3,0.437,0.427,0.432,139.91
Nails_23,28,Image_8,otm,32,3,0.774,0.53,0.629,110.683
Nails_23,28,Image_9,otm,32,3,0.705,0.448,0.548,89.986
Nails_23,384,Image_0_30,otm,32,3,0.944,0.81,0.872,9.672
Nails_23,384,Image_1,otm,32,3,0.875,0.636,0.737,5.46
Nails_23,384,Image_10,otm,32,3,0.667,0.56,0.609,14.248
Nails_23,384,Image_2,otm,32,3,0.75,0.714,0.732,12.353
Nails_23,384,Image_3,otm,32,3,0.5,0.524,0.512,12.48
Nails_23,384,Image_4,otm,32,3,0.789,0.682,0.732,11.386
