object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Pins2,28,Image_0,otm,32,3,0.941,0.958,0.95,64.817
Pins2,28,Image_1,otm,32,3,0.925,0.937,0.931,66.044
Pins2,28,Image_10,otm,32,3,0.963,0.922,0.942,62.676
Pins2,28,Image_2,otm,32,3,0.944,0.974,0.959,60.641
Pins2,28,Image_3,otm,32,3,0.872,0.899,0.885,58.184
Pins2,28,Image_4,otm,32,3,0.903,0.921,0.912,65.692
Pins2,28,Image_5,otm,32,3,0.988,0.994,0.991,62.857
Pins2,28,Image_6,otm,32,3,0.88,0.88,0.88,71.041
Pins2,28,Image_7,otm,32,3,0.888,0.883,0.885,65.565
Pins2,28,Image_8,otm,32,3,0.936,0.907,0.921,67.529
Pins2,28,Image_9,otm,32,3,0.961,0.925,0.942,64.657
Small_nails_32,45,Image_0,otm,32,3,1.0,0.289,0.449,3.663
Small_nails_32,45,Image_1,otm,32,3,0.867,0.382,0.531,4.574
Small_nails_32,45,Image_10,otm,32,3,0.857,0.387,0.533,4.686
Small_nails_32,45,Image_2,otm,32,3,1.0,0.323,0.488,2.754
Small_nails_32,45,Image_3,otm,32,3,0.978,0.62,0.759,14.967
Small_nails_32,45,Image_4,otm,32,3,0.8,0.353,0.49,4.613
Small_nails_32,45,Image_5,otm,32,3,0.938,0.484,0.638,4.693
Small_nails_32,45,Image_6,otm,32,3,1.0,0.486,0.654,3.251
Small_nails_32,45,Image_7,otm,32,3,0.846,0.344,0.489,3.204
Small_nails_32,45,Image_8,otm,32,3,1.0,0.464,0.634,2.651
Small_nails_32,45,Image_9,otm,32,3,0.889,0.286,0.432,2.461
Nails_23,28,Image_0_30,otm,32,3,0.659,0.316,0.427,100.173
Nails_23,28,Image_1,otm,32,3,0.53,0.321,0.4,39.164
Nails_23,28,Image_10,otm,32,3,0.711,0.31,0.432,42.192
Nails_23,28,Image_2,otm,32,3,0.755,0.406,0.528,141.625
Nails_23,28,Image_3,otm,32,3,0.879,0.319,0.468,27.07
Nails_23,28,Image_4,otm,32,3,0.653,0.356,0.461,95.288
Nails_23,28,Image_5,otm,32,3,0.461,0.205,0.283,38.096
Nails_23,28,Image_6,otm,32,3,0.77,0.313,0.445,36.542
Nails_23,28,Image_7,otm,32,3,0.7,0.368,0.483,81.249
Nails_23,28,Image_8,otm,32,3,0.831,0.321,0.464,32.511
Nails_23,28,Image_9,otm,32,3,0.841,0.352,0.496,37.3
Nails_23,384,Image_0_30,otm,32,3,1.0,0.619,0.765,4.127
Nails_23,384,Image_1,otm,32,3,0.882,0.682,0.769,6.163
Nails_23,384,Image_10,otm,32,3,0.714,0.6,0.652,8.584
Nails_23,384,Image_2,otm,32,3,0.65,0.619,0.634,8.167
Nails_23,384,Image_3,otm,32,3,0.722,0.619,0.667,8.3
Nails_23,384,Image_4,otm,32,3,0.933,0.636,0.757,6.965
Nails_23,384,Image_5,otm,32,3,0.458,0.957,0.62,15.807
Nails_23,384,Image_6,otm,32,3,0.457,0.696,0.552,12.314
Nails_23,384,Image_7,otm,32,3,0.3,0.286,0.293,9.887
Nails_23,384,Image_8,otm,32,3,0.65,0.591,0.619,8.069
Nails_23,384,Image_9,otm,32,3,0.76,0.826,0.792,7.771
Nails_23,45,Image_0_30,otm,32,3,0.48,0.176,0.258,12.106
Nails_23,45,Image_1,otm,32,3,0.625,0.323,0.426,7.069
Nails_23,45,Image_10,otm,32,3,0.656,0.256,0.368,10.786
Nails_23,45,Image_2,otm,32,3,0.929,0.382,0.542,16.387
Nails_23,45,Image_3,otm,32,3,0.862,0.357,0.505,16.613
Nails_23,45,Image_4,otm,32,3,0.848,0.389,0.533,11.899
Nails_23,45,Image_5,otm,32,3,0.565,0.181,0.274,10.789
Nails_23,45,Image_6,otm,32,3,0.815,0.297,0.436,14.245
Nails_23,45,Image_7,otm,32,3,0.774,0.353,0.485,19.471
Nails_23,45,Image_8,otm,32,3,0.808,0.309,0.447,13.877
Nails_23,45,Image_9,otm,32,3,0.872,0.459,0.602,17.058
Nails_23,68,Image_0_30,otm,32,3,0.667,0.235,0.348,6.367
Nails_23,68,Image_1,otm,32,3,0.85,0.327,0.472,5.448
Nails_23,68,Image_10,otm,32,3,0.8,0.385,0.519,13.127
Nails_23,68,Image_2,otm,32,3,0.889,0.314,0.464,9.357
Nails_23,68,Image_3,otm,32,3,0.773,0.333,0.466,11.526
Nails_23,68,Image_4,otm,32,3,0.87,0.392,0.541,11.656
Nails_23,68,Image_5,otm,32,3,0.5,0.188,0.273,8.312
Nails_23,68,Image_6,otm,32,3,0.826,0.413,0.551,11.48
Nails_23,68,Image_7,otm,32,3,0.864,0.413,0.559,9.725
Nails_23,68,Image_8,otm,32,3,0.789,0.326,0.462,8.53
Nails_23,68,Image_9,otm,32,3,0.767,0.469,0.582,14.253
Nails_32,28,Image_0_30,otm,32,3,0.785,0.444,0.568,105.495
Nails_32,28,Image_1,otm,32,3,0.503,0.564,0.531,104.404
Nails_32,28,Image_10,otm,32,3,0.696,0.276,0.395,38.405
Nails_32,28,Image_2,otm,32,3,0.812,0.389,0.526,112.758
Nails_32,28,Image_3,otm,32,3,0.98,0.275,0.429,27.422
Nails_32,28,Image_4,otm,32,3,0.779,0.345,0.478,63.124
Nails_32,28,Image_5,otm,32,3,0.838,0.363,0.506,36.228
Nails_32,28,Image_6,otm,32,3,0.798,0.368,0.504,66.251
Nails_32,28,Image_7,otm,32,3,0.815,0.257,0.391,35.237
Nails_32,28,Image_8,otm,32,3,0.762,0.286,0.416,34.424
Nails_32,28,Image_9,otm,32,3,0.725,0.479,0.577,72.511
Nails_32,384,Image_0_30,otm,32,3,0.929,0.619,0.743,6.824
Nails_32,384,Image_1,otm,32,3,0.317,0.909,0.471,25.02
Nails_32,384,Image_10,otm,32,3,0.684,0.52,0.591,8.637
Nails_32,384,Image_2,otm,32,3,0.667,0.381,0.485,4.916
Nails_32,384,Image_3,otm,32,3,0.696,0.762,0.727,10.493
Nails_32,384,Image_4,otm,32,3,0.733,0.5,0.595,6.821
Nails_32,384,Image_5,otm,32,3,0.64,0.696,0.667,9.758
Nails_32,384,Image_6,otm,32,3,0.3,0.261,0.279,8.901
Nails_32,384,Image_7,otm,32,3,0.444,0.571,0.5,14.848
Nails_32,384,Image_8,otm,32,3,0.867,0.591,0.703,3.368
Nails_32,384,Image_9,otm,32,3,0.5,0.565,0.531,8.831
Nails_32,45,Image_0_30,otm,32,3,0.808,0.309,0.447,12.405
Nails_32,45,Image_1,otm,32,3,0.653,0.758,0.701,10.851
Nails_32,45,Image_10,otm,32,3,0.469,0.183,0.263,11.359
Nails_32,45,Image_2,otm,32,3,0.655,0.279,0.392,15.28
Nails_32,45,Image_3,otm,32,3,0.92,0.329,0.484,13.39
Nails_32,45,Image_4,otm,32,3,0.471,0.222,0.302,12.013
Nails_32,45,Image_5,otm,32,3,0.455,0.139,0.213,10.428
Nails_32,45,Image_6,otm,32,3,0.533,0.216,0.308,14.595
