object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.259,0.844,0.396,853.089
Nails_23,28,Image_1,otm,32,3,0.214,0.945,0.349,573.397
Nails_23,28,Image_10,otm,32,3,0.166,0.989,0.285,1026.252
Nails_23,28,Image_2,otm,32,3,0.366,0.663,0.472,580.852
Nails_23,28,Image_3,otm,32,3,0.204,0.995,0.338,797.137
Nails_23,28,Image_4,otm,32,3,0.118,1.0,0.21,1551.258
Nails_23,28,Image_5,otm,32,3,0.137,0.988,0.241,1248.495
Nails_23,28,Image_6,otm,32,3,0.292,0.94,0.446,586.603
Nails_23,28,Image_7,otm,32,3,0.132,1.0,0.233,1229.736
Nails_23,28,Image_8,otm,32,3,0.148,0.994,0.258,1083.65
Nails_23,28,Image_9,otm,32,3,0.138,1.0,0.242,1190.625
Nails_23,384,Image_0_30,otm,32,3,0.078,1.0,0.145,167.771
Nails_23,384,Image_1,otm,32,3,0.104,1.0,0.188,67.883
Nails_23,384,Image_10,otm,32,3,0.066,1.0,0.124,232.25
Nails_23,384,Image_2,otm,32,3,0.108,1.0,0.194,107.969
Nails_23,384,Image_3,otm,32,3,0.056,1.0,0.107,228.419
Nails_23,384,Image_4,otm,32,3,0.057,1.0,0.107,236.918
Nails_23,384,Image_5,otm,32,3,0.061,1.0,0.114,251.068
Nails_23,384,Image_6,otm,32,3,0.061,0.957,0.115,239.609
Nails_23,384,Image_7,otm,32,3,0.063,1.0,0.118,172.402
Nails_23,384,Image_8,otm,32,3,0.057,1.0,0.108,183.657
Nails_23,384,Image_9,otm,32,3,0.065,1.0,0.122,217.598
Nails_23,45,Image_0_30,otm,32,3,0.079,1.0,0.147,515.588
Nails_23,45,Image_1,otm,32,3,0.106,0.984,0.191,227.536
Nails_23,45,Image_10,otm,32,3,0.081,1.0,0.15,606.394
Nails_23,45,Image_2,otm,32,3,0.145,1.0,0.253,388.491
Nails_23,45,Image_3,otm,32,3,0.077,1.0,0.143,595.206
Nails_23,45,Image_4,otm,32,3,0.078,1.0,0.145,656.198
Nails_23,45,Image_5,otm,32,3,0.068,1.0,0.127,433.079
Nails_23,45,Image_6,otm,32,3,0.075,1.0,0.14,465.512
Nails_23,45,Image_7,otm,32,3,0.066,1.0,0.123,844.592
Nails_23,45,Image_8,otm,32,3,0.066,1.0,0.124,707.344
Nails_23,45,Image_9,otm,32,3,0.072,1.0,0.135,782.254
Nails_23,68,Image_0_30,otm,32,3,0.067,1.0,0.125,563.718
Nails_23,68,Image_1,otm,32,3,0.086,1.0,0.159,388.146
