object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.595,0.229,0.331,85.681
Nails_23,28,Image_1,otm,32,3,0.25,0.236,0.243,75.275
Nails_23,28,Image_10,otm,32,3,0.508,0.356,0.419,70.477
Nails_23,28,Image_2,otm,32,3,0.851,0.438,0.578,137.179
Nails_23,28,Image_3,otm,32,3,0.789,0.412,0.542,58.989
Nails_23,28,Image_4,otm,32,3,0.55,0.316,0.401,58.036
Nails_23,28,Image_5,otm,32,3,0.398,0.287,0.333,102.946
Nails_23,28,Image_6,otm,32,3,0.8,0.44,0.567,61.441
Nails_23,28,Image_7,otm,32,3,0.606,0.351,0.444,55.437
Nails_23,28,Image_8,otm,32,3,0.731,0.339,0.463,45.227
Nails_23,28,Image_9,otm,32,3,0.714,0.485,0.578,85.805
Nails_23,384,Image_0_30,otm,32,3,0.118,1.0,0.211,106.645
Nails_23,384,Image_1,otm,32,3,0.156,1.0,0.27,49.176
Nails_23,384,Image_10,otm,32,3,0.132,0.96,0.232,117.171
Nails_23,384,Image_2,otm,32,3,0.172,1.0,0.294,47.735
Nails_23,384,Image_3,otm,32,3,0.133,1.0,0.235,100.38
Nails_23,384,Image_4,otm,32,3,0.117,1.0,0.21,124.764
Nails_23,384,Image_5,otm,32,3,0.111,1.0,0.2,139.169
Nails_23,384,Image_6,otm,32,3,0.116,0.957,0.208,139.578
Nails_23,384,Image_7,otm,32,3,0.103,1.0,0.188,119.278
Nails_23,384,Image_8,otm,32,3,0.121,1.0,0.216,107.378
Nails_23,384,Image_9,otm,32,3,0.113,1.0,0.204,136.919
Nails_23,45,Image_0_30,otm,32,3,0.243,0.265,0.254,28.658
Nails_23,45,Image_1,otm,32,3,0.203,0.226,0.214,21.838
Nails_23,45,Image_10,otm,32,3,0.352,0.378,0.365,38.393
Nails_23,45,Image_2,otm,32,3,0.476,0.294,0.364,10.561
Nails_23,45,Image_3,otm,32,3,0.286,0.543,0.374,49.314
Nails_23,45,Image_4,otm,32,3,0.444,0.5,0.471,35.829
Nails_23,45,Image_5,otm,32,3,0.322,0.528,0.4,51.606
Nails_23,45,Image_6,otm,32,3,0.421,0.797,0.551,61.278
Nails_23,45,Image_7,otm,32,3,0.453,0.632,0.528,43.818
Nails_23,45,Image_8,otm,32,3,0.484,0.676,0.564,31.857
Nails_23,45,Image_9,otm,32,3,0.446,0.73,0.554,54.09
Nails_23,68,Image_0_30,otm,32,3,0.333,0.529,0.409,33.699
Nails_23,68,Image_1,otm,32,3,0.328,0.404,0.362,15.771
Nails_23,68,Image_10,otm,32,3,0.344,0.615,0.441,23.914
Nails_23,68,Image_2,otm,32,3,0.514,0.373,0.432,11.171
Nails_23,68,Image_3,otm,32,3,0.254,0.647,0.365,48.524
Nails_23,68,Image_4,otm,32,3,0.318,0.922,0.472,97.634
Nails_23,68,Image_5,otm,32,3,0.263,0.875,0.404,87.548
Nails_23,68,Image_6,otm,32,3,0.266,0.891,0.41,60.518
Nails_23,68,Image_7,otm,32,3,0.319,0.804,0.457,41.647
Nails_23,68,Image_8,otm,32,3,0.388,0.826,0.528,34.954
Nails_23,68,Image_9,otm,32,3,0.336,0.755,0.465,42.922
Nails_32,28,Image_0_30,otm,32,3,0.759,0.351,0.48,112.4
Nails_32,28,Image_1,otm,32,3,0.514,0.448,0.479,100.396
Nails_32,28,Image_10,otm,32,3,0.57,0.374,0.451,99.9
Nails_32,28,Image_2,otm,32,3,0.858,0.462,0.6,190.593
Nails_32,28,Image_3,otm,32,3,0.94,0.434,0.594,43.328
Nails_32,28,Image_4,otm,32,3,0.618,0.437,0.512,115.695
Nails_32,28,Image_5,otm,32,3,0.672,0.538,0.597,110.239
Nails_32,28,Image_6,otm,32,3,0.69,0.478,0.565,114.814
Nails_32,28,Image_7,otm,32,3,0.663,0.322,0.433,48.643
Nails_32,28,Image_8,otm,32,3,0.655,0.339,0.447,59.622
Nails_32,28,Image_9,otm,32,3,0.644,0.406,0.498,62.258
Nails_32,384,Image_0_30,otm,32,3,0.106,1.0,0.192,119.629
Nails_32,384,Image_1,otm,32,3,0.146,0.955,0.253,58.242
Nails_32,384,Image_10,otm,32,3,0.123,0.96,0.218,121.176
Nails_32,384,Image_2,otm,32,3,0.158,1.0,0.273,52.322
Nails_32,384,Image_3,otm,32,3,0.13,1.0,0.231,81.66
Nails_32,384,Image_4,otm,32,3,0.111,1.0,0.199,109.726
Nails_32,384,Image_5,otm,32,3,0.116,1.0,0.208,113.873
Nails_32,384,Image_6,otm,32,3,0.111,0.913,0.198,116.26
Nails_32,384,Image_7,otm,32,3,0.107,1.0,0.194,104.06
Nails_32,384,Image_8,otm,32,3,0.116,1.0,0.209,85.456
Nails_32,384,Image_9,otm,32,3,0.121,1.0,0.216,113.008
Nails_32,45,Image_0_30,otm,32,3,0.427,0.691,0.528,40.553
Nails_32,45,Image_1,otm,32,3,0.377,0.419,0.397,12.679
Nails_32,45,Image_10,otm,32,3,0.247,0.232,0.239,32.369
Nails_32,45,Image_2,otm,32,3,0.206,0.206,0.206,17.368
Nails_32,45,Image_3,otm,32,3,0.412,0.771,0.537,46.437
Nails_32,45,Image_4,otm,32,3,0.333,0.472,0.391,39.956
Nails_32,45,Image_5,otm,32,3,0.362,0.583,0.447,50.963
Nails_32,45,Image_6,otm,32,3,0.267,0.541,0.357,62.944
Nails_32,45,Image_7,otm,32,3,0.352,0.647,0.456,55.603
Nails_32,45,Image_8,otm,32,3,0.333,0.588,0.426,47.277
Nails_32,45,Image_9,otm,32,3,0.362,0.73,0.484,65.768
Nails_32,68,Image_0_30,otm,32,3,0.353,0.824,0.494,57.372
Nails_32,68,Image_1,otm,32,3,0.46,0.558,0.504,29.405
Nails_32,68,Image_10,otm,32,3,0.263,0.577,0.361,43.004
Nails_32,68,Image_2,otm,32,3,0.304,0.333,0.318,21.171
Nails_32,68,Image_3,otm,32,3,0.322,0.941,0.48,60.34
Nails_32,68,Image_4,otm,32,3,0.22,0.706,0.335,63.444
Nails_32,68,Image_5,otm,32,3,0.311,0.979,0.472,62.037
Nails_32,68,Image_6,otm,32,3,0.235,0.848,0.368,75.057
Nails_32,68,Image_7,otm,32,3,0.193,0.609,0.293,49.566
Nails_32,68,Image_8,otm,32,3,0.314,0.826,0.455,45.153
Nails_32,68,Image_9,otm,32,3,0.276,0.714,0.398,55.494
Nuts,28,Image_0_50,otm,32,3,0.859,1.0,0.924,32.229
Nuts,28,Image_1,otm,32,3,0.697,0.943,0.802,57.143
Nuts,28,Image_10,otm,32,3,0.842,1.0,0.914,36.661
Nuts,28,Image_2,otm,32,3,0.83,0.989,0.903,32.988
Nuts,28,Image_3,otm,32,3,0.867,0.944,0.904,34.28
Nuts,28,Image_4,otm,32,3,0.827,0.966,0.891,46.017
Nuts,28,Image_5,otm,32,3,0.864,0.905,0.884,36.692
Nuts,28,Image_6,otm,32,3,0.828,0.965,0.891,39.856
Nuts,28,Image_7,otm,32,3,0.813,1.0,0.897,42.983
Nuts,28,Image_8,otm,32,3,0.868,0.989,0.925,45.801
Nuts,28,Image_9,otm,32,3,0.87,0.967,0.916,26.662
Nuts,384,Image_0_50,otm,32,3,0.833,0.833,0.833,4.225
Nuts,384,Image_1,otm,32,3,0.812,0.929,0.867,4.719
Nuts,384,Image_10,otm,32,3,1.0,1.0,1.0,3.832
Nuts,384,Image_2,otm,32,3,1.0,0.625,0.769,1.912
Nuts,384,Image_3,otm,32,3,0.867,0.867,0.867,3.544
Nuts,384,Image_4,otm,32,3,1.0,0.909,0.952,2.356
Nuts,384,Image_5,otm,32,3,1.0,0.769,0.87,2.26
Nuts,384,Image_6,otm,32,3,1.0,0.667,0.8,3.207
Nuts,384,Image_7,otm,32,3,1.0,0.571,0.727,1.867
Nuts,384,Image_8,otm,32,3,0.882,0.938,0.909,5.189
Nuts,384,Image_9,otm,32,3,1.0,0.143,0.25,1.604
Nuts,45,Image_0_50,otm,32,3,0.868,1.0,0.929,23.472
Nuts,45,Image_1,otm,32,3,0.872,1.0,0.932,19.32
Nuts,45,Image_10,otm,32,3,0.872,0.895,0.883,9.484
Nuts,45,Image_2,otm,32,3,0.932,1.0,0.965,12.285
Nuts,45,Image_3,otm,32,3,0.865,0.889,0.877,8.428
Nuts,45,Image_4,otm,32,3,0.969,0.939,0.954,6.641
Nuts,45,Image_5,otm,32,3,0.938,0.882,0.909,5.932
Nuts,45,Image_6,otm,32,3,0.897,0.972,0.933,12.019
Nuts,45,Image_7,otm,32,3,0.889,0.857,0.873,8.093
Nuts,45,Image_8,otm,32,3,0.879,0.967,0.921,4.53
Nuts,45,Image_9,otm,32,3,0.825,0.868,0.846,12.036
Nuts,68,Image_0_50,otm,32,3,0.844,1.0,0.916,18.599
Nuts,68,Image_1,otm,32,3,0.757,0.966,0.848,8.719
Nuts,68,Image_10,otm,32,3,0.871,0.9,0.885,13.283
Nuts,68,Image_2,otm,32,3,0.967,0.967,0.967,9.012
Nuts,68,Image_3,otm,32,3,0.867,1.0,0.929,9.827
Nuts,68,Image_4,otm,32,3,1.0,0.923,0.96,4.415
Nuts,68,Image_5,otm,32,3,0.931,0.871,0.9,5.847
Nuts,68,Image_6,otm,32,3,1.0,0.793,0.885,3.908
Nuts,68,Image_7,otm,32,3,0.842,1.0,0.914,5.757
Nuts,68,Image_8,otm,32,3,0.686,0.96,0.8,11.686
Nuts,68,Image_9,otm,32,3,0.815,1.0,0.898,10.735
Pins2,28,Image_0,otm,32,3,0.981,0.91,0.944,106.248
Pins2,28,Image_1,otm,32,3,0.986,0.881,0.93,62.642
Pins2,28,Image_10,otm,32,3,1.0,0.844,0.916,102.215
Pins2,28,Image_2,otm,32,3,0.978,0.871,0.922,122.582
Pins2,28,Image_3,otm,32,3,0.986,0.899,0.941,62.424
Pins2,28,Image_4,otm,32,3,0.964,0.888,0.925,80.939
