object,size,image_name,method,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,0.554,0.302,0.391,141.242
Nails_23,28,Image_0_30,gmms,0.478,0.26,0.337,80.107
Nails_23,28,Image_0_30,hdbscan,0.771,0.094,0.167,43.561
Nails_23,28,Image_1,otm,0.517,0.655,0.578,166.04
Nails_23,28,Image_1,gmms,0.512,0.648,0.572,128.548
Nails_23,28,Image_1,hdbscan,0.5,0.042,0.078,73.641
Nails_23,28,Image_10,otm,0.689,0.764,0.725,176.828
Nails_23,28,Image_10,gmms,0.694,0.77,0.73,169.423
Nails_23,28,Image_10,hdbscan,0.625,0.057,0.105,85.481
Nails_23,28,Image_2,otm,0.778,0.559,0.651,229.691
Nails_23,28,Image_2,gmms,0.812,0.583,0.679,150.181
Nails_23,28,Image_2,hdbscan,0.591,0.045,0.084,80.941
Nails_23,28,Image_3,otm,0.832,0.516,0.637,98.377
Nails_23,28,Image_3,gmms,0.832,0.516,0.637,79.927
Nails_23,28,Image_3,hdbscan,1.0,0.044,0.084,44.581
Nails_23,28,Image_4,otm,0.476,0.672,0.557,278.333
Nails_23,28,Image_4,gmms,0.541,0.764,0.633,252.919
Nails_23,28,Image_4,hdbscan,0.538,0.04,0.075,143.491
Nails_23,28,Image_5,otm,0.341,0.333,0.337,187.549
Nails_23,28,Image_5,gmms,0.281,0.275,0.278,183.52
Nails_23,28,Image_5,hdbscan,0.286,0.023,0.043,117.297
Nails_23,28,Image_6,otm,0.76,0.731,0.745,189.11
Nails_23,28,Image_6,gmms,0.754,0.725,0.739,176.822
Nails_23,28,Image_6,hdbscan,0.933,0.077,0.142,113.012
Nails_23,28,Image_7,otm,0.582,0.667,0.621,209.264
Nails_23,28,Image_7,gmms,0.546,0.626,0.583,207.92
Nails_23,28,Image_7,hdbscan,0.25,0.006,0.011,114.237
Nails_23,28,Image_8,otm,0.896,0.613,0.728,99.894
Nails_23,28,Image_8,gmms,0.852,0.583,0.693,80.905
Nails_23,28,Image_8,hdbscan,0.889,0.143,0.246,49.926
Nails_23,28,Image_9,otm,0.613,0.691,0.65,235.407
Nails_23,28,Image_9,gmms,0.667,0.752,0.707,222.024
Nails_23,28,Image_9,hdbscan,0.2,0.006,0.012,153.572
Nails_23,384,Image_0_30,otm,1.0,0.238,0.385,3.575
Nails_23,384,Image_0_30,gmms,1.0,0.238,0.385,6.802
Nails_23,384,Image_0_30,hdbscan,1.0,0.143,0.25,13.697
Nails_23,384,Image_1,otm,0.75,0.273,0.4,4.402
Nails_23,384,Image_1,gmms,0.75,0.273,0.4,15.345
Nails_23,384,Image_1,hdbscan,0.75,0.136,0.231,20.29
Nails_23,384,Image_10,otm,0.889,0.32,0.471,5.177
Nails_23,384,Image_10,gmms,0.778,0.28,0.412,10.474
Nails_23,384,Image_10,hdbscan,0.857,0.24,0.375,12.83
Nails_23,384,Image_2,otm,0.714,0.476,0.571,6.931
Nails_23,384,Image_2,gmms,0.714,0.476,0.571,18.136
Nails_23,384,Image_2,hdbscan,0.8,0.381,0.516,21.32
Nails_23,384,Image_3,otm,0.917,0.524,0.667,6.681
Nails_23,384,Image_3,gmms,0.667,0.381,0.485,16.523
Nails_23,384,Image_3,hdbscan,0.833,0.476,0.606,18.86
Nails_23,384,Image_4,otm,0.786,0.5,0.611,6.044
Nails_23,384,Image_4,gmms,0.786,0.5,0.611,20.435
Nails_23,384,Image_4,hdbscan,0.857,0.273,0.414,24.481
Nails_23,384,Image_5,otm,0.476,0.87,0.615,24.326
Nails_23,384,Image_5,gmms,0.5,0.913,0.646,58.399
Nails_23,384,Image_5,hdbscan,0.833,0.217,0.345,53.412
Nails_23,384,Image_6,otm,0.682,0.652,0.667,10.799
Nails_23,384,Image_6,gmms,0.591,0.565,0.578,21.632
Nails_23,384,Image_6,hdbscan,0.636,0.304,0.412,22.109
Nails_23,384,Image_7,otm,0.429,0.286,0.343,8.024
Nails_23,384,Image_7,gmms,0.571,0.381,0.457,20.365
Nails_23,384,Image_7,hdbscan,0.778,0.333,0.467,21.242
Nails_23,384,Image_8,otm,0.75,0.545,0.632,6.427
Nails_23,384,Image_8,gmms,0.688,0.5,0.579,11.874
Nails_23,384,Image_8,hdbscan,0.667,0.182,0.286,13.979
Nails_23,384,Image_9,otm,0.846,0.478,0.611,4.61
Nails_23,384,Image_9,gmms,0.846,0.478,0.611,16.994
Nails_23,384,Image_9,hdbscan,0.75,0.391,0.514,21.34
Nails_23,45,Image_0_30,otm,0.327,0.265,0.293,43.69
Nails_23,45,Image_0_30,gmms,0.4,0.324,0.358,77.858
Nails_23,45,Image_0_30,hdbscan,0.375,0.044,0.079,68.062
Nails_23,45,Image_1,otm,0.436,0.387,0.41,32.614
Nails_23,45,Image_1,gmms,0.6,0.532,0.564,57.159
Nails_23,45,Image_1,hdbscan,0.429,0.048,0.087,50.82
Nails_23,45,Image_10,otm,0.566,0.573,0.57,74.827
Nails_23,45,Image_10,gmms,0.518,0.524,0.521,72.653
Nails_23,45,Image_10,hdbscan,0.625,0.122,0.204,51.884
Nails_23,45,Image_2,otm,0.826,0.559,0.667,30.38
Nails_23,45,Image_2,gmms,0.826,0.559,0.667,80.427
Nails_23,45,Image_2,hdbscan,0.857,0.088,0.16,75.946
Nails_23,45,Image_3,otm,0.63,0.414,0.5,25.395
Nails_23,45,Image_3,gmms,0.565,0.371,0.448,43.01
Nails_23,45,Image_3,hdbscan,0.692,0.129,0.217,32.738
Nails_23,45,Image_4,otm,0.642,0.597,0.619,39.76
Nails_23,45,Image_4,gmms,0.627,0.583,0.604,82.291
Nails_23,45,Image_4,hdbscan,0.692,0.125,0.212,61.262
Nails_23,45,Image_5,otm,0.474,0.625,0.539,106.907
Nails_23,45,Image_5,gmms,0.442,0.583,0.503,108.25
Nails_23,45,Image_5,hdbscan,0.333,0.056,0.095,82.055
Nails_23,45,Image_6,otm,0.855,0.635,0.729,33.948
Nails_23,45,Image_6,gmms,0.964,0.716,0.822,66.809
