object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.69,0.24,0.356,62.494
Nails_23,28,Image_1,otm,32,3,0.658,0.291,0.403,23.453
Nails_23,28,Image_10,otm,32,3,0.654,0.195,0.301,29.078
Nails_23,28,Image_2,otm,32,3,0.824,0.406,0.544,119.866
Nails_23,28,Image_3,otm,32,3,0.978,0.242,0.388,18.338
Nails_23,28,Image_4,otm,32,3,0.667,0.276,0.39,31.938
Nails_23,28,Image_5,otm,32,3,0.638,0.175,0.275,17.256
Nails_23,28,Image_6,otm,32,3,0.824,0.231,0.361,25.143
Nails_23,28,Image_7,otm,32,3,0.836,0.357,0.5,31.093
Nails_23,28,Image_8,otm,32,3,0.739,0.202,0.318,23.43
Nails_23,28,Image_9,otm,32,3,0.887,0.285,0.431,25.514
Nails_23,384,Image_0_30,otm,32,3,0.645,0.952,0.769,15.54
Nails_23,384,Image_1,otm,32,3,0.655,0.864,0.745,10.73
Nails_23,384,Image_10,otm,32,3,0.538,0.84,0.656,14.933
Nails_23,384,Image_2,otm,32,3,0.643,0.857,0.735,8.61
Nails_23,384,Image_3,otm,32,3,0.432,0.762,0.552,12.125
Nails_23,384,Image_4,otm,32,3,0.568,0.955,0.712,12.274
Nails_23,384,Image_5,otm,32,3,0.397,1.0,0.568,28.213
Nails_23,384,Image_6,otm,32,3,0.37,0.87,0.519,24.804
Nails_23,384,Image_7,otm,32,3,0.4,0.857,0.545,19.708
Nails_23,384,Image_8,otm,32,3,0.543,0.864,0.667,9.691
Nails_23,384,Image_9,otm,32,3,0.477,0.913,0.627,14.998
Nails_23,45,Image_0_30,otm,32,3,0.52,0.191,0.28,10.688
Nails_23,45,Image_1,otm,32,3,0.8,0.323,0.46,9.124
Nails_23,45,Image_10,otm,32,3,0.679,0.232,0.345,13.312
Nails_23,45,Image_2,otm,32,3,0.917,0.324,0.478,11.102
Nails_23,45,Image_3,otm,32,3,0.808,0.3,0.438,10.874
Nails_23,45,Image_4,otm,32,3,0.735,0.347,0.472,11.656
Nails_23,45,Image_5,otm,32,3,0.632,0.167,0.264,8.502
Nails_23,45,Image_6,otm,32,3,0.966,0.378,0.544,13.952
Nails_23,45,Image_7,otm,32,3,0.897,0.382,0.536,12.323
Nails_23,45,Image_8,otm,32,3,0.731,0.279,0.404,9.301
Nails_23,45,Image_9,otm,32,3,0.969,0.419,0.585,10.945
Nails_23,68,Image_0_30,otm,32,3,0.692,0.353,0.468,11.374
Nails_23,68,Image_1,otm,32,3,0.696,0.308,0.427,11.756
Nails_23,68,Image_10,otm,32,3,0.806,0.481,0.602,18.249
Nails_23,68,Image_2,otm,32,3,0.958,0.451,0.613,12.344
Nails_23,68,Image_3,otm,32,3,0.759,0.431,0.55,18.096
Nails_23,68,Image_4,otm,32,3,0.968,0.588,0.732,16.729
Nails_23,68,Image_5,otm,32,3,0.696,0.333,0.451,10.937
Nails_23,68,Image_6,otm,32,3,0.853,0.63,0.725,6.426
Nails_23,68,Image_7,otm,32,3,0.821,0.5,0.622,14.476
Nails_23,68,Image_8,otm,32,3,0.76,0.413,0.535,10.069
Nails_23,68,Image_9,otm,32,3,0.719,0.469,0.568,11.215
Nails_32,28,Image_0_30,otm,32,3,0.769,0.358,0.488,92.037
Nails_32,28,Image_1,otm,32,3,0.597,0.558,0.577,90.229
Nails_32,28,Image_10,otm,32,3,0.723,0.195,0.308,25.366
Nails_32,28,Image_2,otm,32,3,0.843,0.372,0.516,123.674
Nails_32,28,Image_3,otm,32,3,0.946,0.192,0.32,12.136
Nails_32,28,Image_4,otm,32,3,0.817,0.282,0.419,30.646
Nails_32,28,Image_5,otm,32,3,0.826,0.222,0.35,21.774
Nails_32,28,Image_6,otm,32,3,0.81,0.258,0.392,32.829
Nails_32,28,Image_7,otm,32,3,0.878,0.251,0.391,23.471
Nails_32,28,Image_8,otm,32,3,0.745,0.208,0.326,26.104
Nails_32,28,Image_9,otm,32,3,0.758,0.436,0.554,79.849
Nails_32,384,Image_0_30,otm,32,3,0.581,0.857,0.692,17.632
Nails_32,384,Image_1,otm,32,3,0.42,0.955,0.583,15.906
Nails_32,384,Image_10,otm,32,3,0.564,0.88,0.688,14.832
Nails_32,384,Image_2,otm,32,3,0.667,0.762,0.711,10.675
Nails_32,384,Image_3,otm,32,3,0.5,0.952,0.656,13.834
Nails_32,384,Image_4,otm,32,3,0.568,0.955,0.712,9.436
Nails_32,384,Image_5,otm,32,3,0.447,0.913,0.6,19.98
Nails_32,384,Image_6,otm,32,3,0.391,0.783,0.522,18.667
Nails_32,384,Image_7,otm,32,3,0.388,0.905,0.543,21.621
Nails_32,384,Image_8,otm,32,3,0.545,0.818,0.655,8.276
Nails_32,384,Image_9,otm,32,3,0.362,0.739,0.486,15.469
Nails_32,45,Image_0_30,otm,32,3,0.885,0.338,0.489,11.292
Nails_32,45,Image_1,otm,32,3,0.717,0.532,0.611,13.307
Nails_32,45,Image_10,otm,32,3,0.571,0.195,0.291,14.823
Nails_32,45,Image_2,otm,32,3,0.88,0.324,0.473,12.43
Nails_32,45,Image_3,otm,32,3,0.958,0.329,0.489,9.641
Nails_32,45,Image_4,otm,32,3,0.571,0.278,0.374,11.073
Nails_32,45,Image_5,otm,32,3,0.526,0.139,0.22,8.57
Nails_32,45,Image_6,otm,32,3,0.71,0.297,0.419,14.371
Nails_32,45,Image_7,otm,32,3,0.69,0.294,0.412,14.992
Nails_32,45,Image_8,otm,32,3,0.481,0.191,0.274,14.35
Nails_32,45,Image_9,otm,32,3,0.829,0.392,0.532,12.079
Nails_32,68,Image_0_30,otm,32,3,0.923,0.471,0.623,13.184
Nails_32,68,Image_1,otm,32,3,0.848,0.538,0.659,7.91
Nails_32,68,Image_10,otm,32,3,0.767,0.442,0.561,19.237
Nails_32,68,Image_2,otm,32,3,0.875,0.412,0.56,10.977
Nails_32,68,Image_3,otm,32,3,1.0,0.529,0.692,14.219
Nails_32,68,Image_4,otm,32,3,0.774,0.471,0.585,12.637
Nails_32,68,Image_5,otm,32,3,0.818,0.375,0.514,9.754
Nails_32,68,Image_6,otm,32,3,0.788,0.565,0.658,7.453
Nails_32,68,Image_7,otm,32,3,0.607,0.37,0.459,15.605
Nails_32,68,Image_8,otm,32,3,0.8,0.435,0.563,10.594
Nails_32,68,Image_9,otm,32,3,0.75,0.49,0.593,10.534
Nuts,28,Image_0_50,otm,32,3,0.839,0.859,0.849,18.957
Nuts,28,Image_1,otm,32,3,0.886,0.886,0.886,19.583
Nuts,28,Image_10,otm,32,3,0.976,0.953,0.964,17.051
Nuts,28,Image_2,otm,32,3,0.899,0.899,0.899,21.282
Nuts,28,Image_3,otm,32,3,0.943,0.922,0.933,11.525
Nuts,28,Image_4,otm,32,3,0.922,0.933,0.927,17.611
Nuts,28,Image_5,otm,32,3,0.937,0.881,0.908,14.383
Nuts,28,Image_6,otm,32,3,0.928,0.906,0.917,16.857
Nuts,28,Image_7,otm,32,3,0.988,0.954,0.971,13.998
Nuts,28,Image_8,otm,32,3,0.967,0.946,0.957,14.782
Nuts,28,Image_9,otm,32,3,0.945,0.956,0.95,22.115
Nuts,384,Image_0_50,otm,32,3,1.0,0.917,0.957,2.916
Nuts,384,Image_1,otm,32,3,1.0,0.857,0.923,2.931
Nuts,384,Image_10,otm,32,3,1.0,0.8,0.889,1.663
Nuts,384,Image_2,otm,32,3,1.0,0.625,0.769,1.428
Nuts,384,Image_3,otm,32,3,1.0,0.867,0.929,2.571
Nuts,384,Image_4,otm,32,3,1.0,0.818,0.9,1.963
Nuts,384,Image_5,otm,32,3,1.0,0.769,0.87,1.936
Nuts,384,Image_6,otm,32,3,1.0,0.667,0.8,1.811
Nuts,384,Image_7,otm,32,3,1.0,0.571,0.727,1.584
Nuts,384,Image_8,otm,32,3,1.0,0.812,0.897,3.194
Nuts,384,Image_9,otm,32,3,1.0,0.286,0.444,1.321
Nuts,45,Image_0_50,otm,32,3,1.0,0.913,0.955,6.111
Nuts,45,Image_1,otm,32,3,1.0,0.829,0.907,5.444
Nuts,45,Image_10,otm,32,3,1.0,0.842,0.914,5.244
Nuts,45,Image_2,otm,32,3,1.0,0.902,0.949,6.879
Nuts,45,Image_3,otm,32,3,1.0,0.861,0.925,7.774
Nuts,45,Image_4,otm,32,3,0.966,0.848,0.903,3.316
Nuts,45,Image_5,otm,32,3,1.0,0.853,0.921,3.599
Nuts,45,Image_6,otm,32,3,1.0,0.861,0.925,8.423
Nuts,45,Image_7,otm,32,3,1.0,0.75,0.857,2.412
Nuts,45,Image_8,otm,32,3,1.0,0.867,0.929,5.157
Nuts,45,Image_9,otm,32,3,0.967,0.763,0.853,5.573
Nuts,68,Image_0_50,otm,32,3,1.0,0.842,0.914,4.396
Nuts,68,Image_1,otm,32,3,1.0,0.897,0.945,5.559
Nuts,68,Image_10,otm,32,3,1.0,0.833,0.909,6.322
Nuts,68,Image_2,otm,32,3,1.0,0.833,0.909,5.543
Nuts,68,Image_3,otm,32,3,1.0,0.846,0.917,6.217
Nuts,68,Image_4,otm,32,3,1.0,0.769,0.87,3.281
Nuts,68,Image_5,otm,32,3,1.0,0.806,0.893,4.999
Nuts,68,Image_6,otm,32,3,1.0,0.759,0.863,4.419
Nuts,68,Image_7,otm,32,3,1.0,0.875,0.933,2.531
Nuts,68,Image_8,otm,32,3,1.0,0.84,0.913,4.843
Nuts,68,Image_9,otm,32,3,1.0,0.909,0.952,3.652
Pins2,28,Image_0,otm,32,3,0.945,0.934,0.94,73.896
Pins2,28,Image_1,otm,32,3,0.973,0.918,0.945,61.623
Pins2,28,Image_10,otm,32,3,0.98,0.898,0.938,72.092
Pins2,28,Image_2,otm,32,3,0.953,0.916,0.934,67.229
Pins2,28,Image_3,otm,32,3,0.981,0.956,0.968,74.631
Pins2,28,Image_4,otm,32,3,0.98,0.961,0.97,66.424
Pins2,28,Image_5,otm,32,3,0.961,0.919,0.939,73.298
Pins2,28,Image_6,otm,32,3,1.0,0.937,0.967,54.637
Pins2,28,Image_7,otm,32,3,1.0,0.914,0.955,67.032
Pins2,28,Image_8,otm,32,3,0.993,0.913,0.951,65.317
Pins2,28,Image_9,otm,32,3,0.979,0.899,0.938,63.105
Pins2,384,Image_0,otm,32,3,1.0,0.812,0.897,3.292
Pins2,384,Image_1,otm,32,3,1.0,0.778,0.875,1.425
Pins2,384,Image_10,otm,32,3,1.0,0.818,0.9,1.549
Pins2,384,Image_2,otm,32,3,1.0,0.917,0.957,1.652
Pins2,384,Image_3,otm,32,3,0.889,0.889,0.889,2.128
Pins2,384,Image_4,otm,32,3,1.0,0.5,0.667,1.196
Pins2,384,Image_5,otm,32,3,1.0,1.0,1.0,1.536
Pins2,384,Image_6,otm,32,3,0.9,0.9,0.9,1.982
Pins2,384,Image_7,otm,32,3,0.889,1.0,0.941,1.479
Pins2,45,Image_0,otm,32,3,1.0,0.847,0.917,9.787
Pins2,45,Image_1,otm,32,3,1.0,0.915,0.956,13.103
Pins2,45,Image_10,otm,32,3,1.0,0.87,0.931,6.246
Pins2,45,Image_2,otm,32,3,0.985,0.889,0.934,13.568
Pins2,45,Image_3,otm,32,3,0.985,0.918,0.95,11.482
Pins2,45,Image_4,otm,32,3,1.0,0.884,0.938,13.679
Pins2,45,Image_5,otm,32,3,0.985,0.903,0.942,13.651
Pins2,45,Image_6,otm,32,3,1.0,0.877,0.934,14.262
Pins2,45,Image_7,otm,32,3,1.0,0.921,0.959,13.978
Pins2,45,Image_8,otm,32,3,1.0,0.917,0.957,7.827
Pins2,45,Image_9,otm,32,3,1.0,0.879,0.936,8.617
Pins2,68,Image_0,otm,32,3,1.0,0.875,0.933,5.86
Pins2,68,Image_1,otm,32,3,1.0,0.875,0.933,7.698
Pins2,68,Image_10,otm,32,3,1.0,0.914,0.955,5.516
Pins2,68,Image_2,otm,32,3,1.0,0.828,0.906,2.669
Pins2,68,Image_3,otm,32,3,1.0,0.833,0.909,3.619
Pins2,68,Image_4,otm,32,3,1.0,0.864,0.927,2.646
Pins2,68,Image_5,otm,32,3,1.0,0.816,0.899,6.716
Pins2,68,Image_6,otm,32,3,1.0,0.844,0.915,3.233
Pins2,68,Image_7,otm,32,3,1.0,0.867,0.929,5.154
Pins2,68,Image_8,otm,32,3,1.0,0.897,0.945,4.294
Pins2,68,Image_9,otm,32,3,1.0,0.897,0.945,6.048
Small_nails_23,28,Image_0,otm,32,3,0.676,0.469,0.554,12.184
Small_nails_23,28,Image_1,otm,32,3,0.986,0.758,0.857,24.756
Small_nails_23,28,Image_10,otm,32,3,0.806,0.556,0.658,17.635
Small_nails_23,28,Image_2,otm,32,3,1.0,0.672,0.804,20.354
Small_nails_23,28,Image_3,otm,32,3,0.703,0.495,0.581,17.275
Small_nails_23,28,Image_4,otm,32,3,0.915,0.557,0.692,20.687
Small_nails_23,28,Image_5,otm,32,3,0.831,0.621,0.711,20.613
Small_nails_23,28,Image_6,otm,32,3,0.892,0.63,0.739,16.561
Small_nails_23,28,Image_7,otm,32,3,0.833,0.549,0.662,16.952
Small_nails_23,28,Image_8,otm,32,3,0.871,0.614,0.72,22.686
Small_nails_23,28,Image_9,otm,32,3,0.983,0.663,0.792,20.267
Small_nails_23,384,Image_0,otm,32,3,1.0,0.318,0.483,2.159
Small_nails_23,384,Image_1,otm,32,3,1.0,0.412,0.583,1.672
Small_nails_23,384,Image_10,otm,32,3,0.75,0.3,0.429,1.644
Small_nails_23,384,Image_2,otm,32,3,1.0,0.235,0.381,1.417
Small_nails_23,384,Image_3,otm,32,3,0.75,0.214,0.333,2.244
Small_nails_23,384,Image_4,otm,32,3,0.857,0.3,0.444,2.35
Small_nails_23,384,Image_5,otm,32,3,1.0,0.429,0.6,2.921
Small_nails_23,384,Image_6,otm,32,3,0.6,0.214,0.316,2.061
Small_nails_23,384,Image_7,otm,32,3,1.0,0.4,0.571,1.606
Small_nails_23,384,Image_8,otm,32,3,1.0,0.2,0.333,1.197
Small_nails_23,384,Image_9,otm,32,3,0.25,0.143,0.182,1.505
Small_nails_23,45,Image_0,otm,32,3,1.0,0.395,0.566,3.277
Small_nails_23,45,Image_1,otm,32,3,1.0,0.618,0.764,4.076
Small_nails_23,45,Image_10,otm,32,3,0.95,0.613,0.745,4.398
Small_nails_23,45,Image_2,otm,32,3,1.0,0.516,0.681,3.997
Small_nails_23,45,Image_3,otm,32,3,1.0,0.746,0.855,18.644
Small_nails_23,45,Image_4,otm,32,3,0.889,0.471,0.615,4.502
Small_nails_23,45,Image_5,otm,32,3,0.95,0.613,0.745,4.47
Small_nails_23,45,Image_6,otm,32,3,0.913,0.6,0.724,7.737
Small_nails_23,45,Image_7,otm,32,3,0.941,0.5,0.653,4.471
Small_nails_23,45,Image_8,otm,32,3,0.944,0.607,0.739,3.496
Small_nails_23,45,Image_9,otm,32,3,1.0,0.571,0.727,3.32
Small_nails_23,68,Image_0,otm,32,3,0.895,0.386,0.54,6.657
Small_nails_23,68,Image_1,otm,32,3,0.955,0.525,0.677,6.496
Small_nails_23,68,Image_10,otm,32,3,1.0,0.6,0.75,4.01
Small_nails_23,68,Image_2,otm,32,3,0.909,0.465,0.615,4.569
Small_nails_23,68,Image_3,otm,32,3,0.733,0.333,0.458,2.75
Small_nails_23,68,Image_4,otm,32,3,0.952,0.5,0.656,4.656
Small_nails_23,68,Image_5,otm,32,3,0.955,0.512,0.667,6.127
Small_nails_23,68,Image_6,otm,32,3,0.944,0.515,0.667,5.181
Small_nails_23,68,Image_7,otm,32,3,1.0,0.516,0.681,2.362
Small_nails_23,68,Image_8,otm,32,3,0.857,0.414,0.558,2.057
Small_nails_23,68,Image_9,otm,32,3,0.947,0.562,0.706,5.554
Small_nails_32,28,Image_0,otm,32,3,0.627,0.429,0.509,12.177
Small_nails_32,28,Image_1,otm,32,3,0.986,0.758,0.857,25.99
Small_nails_32,28,Image_10,otm,32,3,0.842,0.533,0.653,18.375
Small_nails_32,28,Image_2,otm,32,3,1.0,0.629,0.772,16.488
Small_nails_32,28,Image_3,otm,32,3,0.926,0.549,0.69,20.3
Small_nails_32,28,Image_4,otm,32,3,0.921,0.598,0.725,22.664
Small_nails_32,28,Image_5,otm,32,3,0.984,0.642,0.777,24.789
Small_nails_32,28,Image_6,otm,32,3,0.931,0.587,0.72,21.331
Small_nails_32,28,Image_7,otm,32,3,0.875,0.538,0.667,13.471
Small_nails_32,28,Image_8,otm,32,3,0.893,0.568,0.694,17.972
Small_nails_32,28,Image_9,otm,32,3,1.0,0.663,0.797,23.945
Small_nails_32,384,Image_0,otm,32,3,1.0,0.318,0.483,2.442
Small_nails_32,384,Image_1,otm,32,3,0.857,0.353,0.5,1.878
Small_nails_32,384,Image_10,otm,32,3,0.75,0.3,0.429,1.396
Small_nails_32,384,Image_2,otm,32,3,1.0,0.235,0.381,1.487
Small_nails_32,384,Image_3,otm,32,3,0.8,0.286,0.421,1.907
Small_nails_32,384,Image_4,otm,32,3,0.857,0.3,0.444,2.426
Small_nails_32,384,Image_5,otm,32,3,0.667,0.286,0.4,2.953
Small_nails_32,384,Image_6,otm,32,3,1.0,0.357,0.526,1.685
Small_nails_32,384,Image_7,otm,32,3,1.0,0.4,0.571,1.871
Small_nails_32,384,Image_8,otm,32,3,1.0,0.2,0.333,1.255
Small_nails_32,384,Image_9,otm,32,3,1.0,0.429,0.6,1.438
Small_nails_32,45,Image_0,otm,32,3,1.0,0.368,0.538,4.093
Small_nails_32,45,Image_1,otm,32,3,1.0,0.588,0.741,5.073
Small_nails_32,45,Image_10,otm,32,3,1.0,0.645,0.784,4.311
Small_nails_32,45,Image_2,otm,32,3,1.0,0.484,0.652,3.039
