object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.372,0.288,0.325,238.887
Nails_23,28,Image_1,otm,32,3,0.324,0.436,0.372,203.062
Nails_23,28,Image_10,otm,32,3,0.386,0.678,0.492,356.425
Nails_23,28,Image_2,otm,32,3,0.734,0.403,0.52,222.082
Nails_23,28,Image_3,otm,32,3,0.5,0.462,0.48,153.837
Nails_23,28,Image_4,otm,32,3,0.297,0.851,0.44,574.644
Nails_23,28,Image_5,otm,32,3,0.308,0.772,0.44,403.197
Nails_23,28,Image_6,otm,32,3,0.459,0.489,0.473,196.977
Nails_23,28,Image_7,otm,32,3,0.379,0.772,0.509,389.542
Nails_23,28,Image_8,otm,32,3,0.555,0.601,0.577,228.838
Nails_23,28,Image_9,otm,32,3,0.341,0.903,0.495,467.626
Nails_23,384,Image_0_30,otm,32,3,0.065,1.0,0.122,183.821
Nails_23,384,Image_1,otm,32,3,0.073,1.0,0.135,122.643
Nails_23,384,Image_10,otm,32,3,0.073,1.0,0.136,258.997
Nails_23,384,Image_2,otm,32,3,0.113,1.0,0.203,112.712
Nails_23,384,Image_3,otm,32,3,0.065,1.0,0.122,207.603
Nails_23,384,Image_4,otm,32,3,0.062,1.0,0.116,225.227
Nails_23,384,Image_5,otm,32,3,0.06,1.0,0.114,286.387
Nails_23,384,Image_6,otm,32,3,0.072,0.957,0.134,223.426
Nails_23,384,Image_7,otm,32,3,0.06,1.0,0.114,271.26
Nails_23,384,Image_8,otm,32,3,0.072,1.0,0.135,193.191
Nails_23,384,Image_9,otm,32,3,0.064,1.0,0.121,246.08
Nails_23,45,Image_0_30,otm,32,3,0.158,0.676,0.256,208.891
Nails_23,45,Image_1,otm,32,3,0.328,0.645,0.435,59.637
Nails_23,45,Image_10,otm,32,3,0.244,0.78,0.372,219.682
Nails_23,45,Image_2,otm,32,3,0.396,0.647,0.492,107.498
Nails_23,45,Image_3,otm,32,3,0.167,0.9,0.282,197.075
Nails_23,45,Image_4,otm,32,3,0.21,0.861,0.338,252.843
Nails_23,45,Image_5,otm,32,3,0.19,0.875,0.312,270.055
Nails_23,45,Image_6,otm,32,3,0.243,0.932,0.385,229.535
Nails_23,45,Image_7,otm,32,3,0.179,0.912,0.3,299.281
Nails_23,45,Image_8,otm,32,3,0.209,0.912,0.341,219.338
Nails_23,45,Image_9,otm,32,3,0.166,0.932,0.282,344.394
