object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.598,0.361,0.45,108.703
Nails_23,28,Image_1,otm,32,3,0.439,0.37,0.401,74.677
Nails_23,28,Image_10,otm,32,3,0.594,0.362,0.45,71.964
Nails_23,28,Image_2,otm,32,3,0.751,0.472,0.58,120.773
Nails_23,28,Image_3,otm,32,3,0.925,0.473,0.625,70.096
Nails_23,28,Image_4,otm,32,3,0.522,0.402,0.455,90.593
Nails_23,28,Image_5,otm,32,3,0.438,0.287,0.346,69.602
Nails_23,28,Image_6,otm,32,3,0.822,0.484,0.609,71.938
Nails_23,28,Image_7,otm,32,3,0.639,0.538,0.584,94.537
Nails_23,28,Image_8,otm,32,3,0.83,0.435,0.57,66.623
Nails_23,28,Image_9,otm,32,3,0.777,0.527,0.628,77.018
Nails_23,384,Image_0_30,otm,32,3,1.0,0.857,0.923,10.334
Nails_23,384,Image_1,otm,32,3,0.722,0.591,0.65,8.204
Nails_23,384,Image_10,otm,32,3,0.607,0.68,0.642,25.555
Nails_23,384,Image_2,otm,32,3,0.739,0.81,0.773,10.173
Nails_23,384,Image_3,otm,32,3,0.56,0.667,0.609,15.952
Nails_23,384,Image_4,otm,32,3,0.714,0.682,0.698,12.103
Nails_23,384,Image_5,otm,32,3,0.407,0.957,0.571,33.985
Nails_23,384,Image_6,otm,32,3,0.538,0.913,0.677,18.901
Nails_23,384,Image_7,otm,32,3,0.3,0.429,0.353,25.981
Nails_23,384,Image_8,otm,32,3,0.654,0.773,0.708,15.524
Nails_23,384,Image_9,otm,32,3,0.625,0.87,0.727,14.349
Nails_23,45,Image_0_30,otm,32,3,0.423,0.162,0.234,12.685
Nails_23,45,Image_1,otm,32,3,0.692,0.29,0.409,8.852
Nails_23,45,Image_10,otm,32,3,0.71,0.268,0.389,19.546
Nails_23,45,Image_2,otm,32,3,1.0,0.397,0.568,16.37
Nails_23,45,Image_3,otm,32,3,0.793,0.329,0.465,15.076
Nails_23,45,Image_4,otm,32,3,0.794,0.375,0.509,9.715
Nails_23,45,Image_5,otm,32,3,0.88,0.306,0.454,15.182
Nails_23,45,Image_6,otm,32,3,0.9,0.365,0.519,18.932
Nails_23,45,Image_7,otm,32,3,0.889,0.471,0.615,14.256
Nails_23,45,Image_8,otm,32,3,0.774,0.353,0.485,20.269
Nails_23,45,Image_9,otm,32,3,0.8,0.486,0.605,23.168
Nails_23,68,Image_0_30,otm,32,3,0.85,0.333,0.479,11.9
Nails_23,68,Image_1,otm,32,3,0.684,0.25,0.366,7.781
Nails_23,68,Image_10,otm,32,3,0.808,0.404,0.538,16.194
Nails_23,68,Image_2,otm,32,3,0.889,0.314,0.464,9.818
Nails_23,68,Image_3,otm,32,3,0.792,0.373,0.507,13.935
Nails_23,68,Image_4,otm,32,3,0.92,0.451,0.605,13.738
Nails_23,68,Image_5,otm,32,3,0.6,0.25,0.353,10.429
Nails_23,68,Image_6,otm,32,3,0.786,0.478,0.595,15.517
Nails_23,68,Image_7,otm,32,3,0.846,0.478,0.611,15.772
Nails_23,68,Image_8,otm,32,3,0.731,0.413,0.528,15.568
Nails_23,68,Image_9,otm,32,3,0.767,0.469,0.582,19.902
Nails_32,28,Image_0_30,otm,32,3,0.693,0.479,0.567,123.142
Nails_32,28,Image_1,otm,32,3,0.529,0.721,0.61,107.103
Nails_32,28,Image_10,otm,32,3,0.793,0.42,0.549,79.207
Nails_32,28,Image_2,otm,32,3,0.861,0.497,0.63,120.494
Nails_32,28,Image_3,otm,32,3,1.0,0.385,0.556,32.321
Nails_32,28,Image_4,otm,32,3,0.792,0.46,0.582,66.589
Nails_32,28,Image_5,otm,32,3,0.771,0.474,0.587,66.196
Nails_32,28,Image_6,otm,32,3,0.81,0.538,0.647,91.608
Nails_32,28,Image_7,otm,32,3,0.787,0.433,0.558,77.507
Nails_32,28,Image_8,otm,32,3,0.775,0.411,0.537,72.288
Nails_32,28,Image_9,otm,32,3,0.574,0.655,0.612,104.006
Nails_32,384,Image_0_30,otm,32,3,0.842,0.762,0.8,11.37
Nails_32,384,Image_1,otm,32,3,0.4,1.0,0.571,18.522
Nails_32,384,Image_10,otm,32,3,0.519,0.56,0.538,23.335
Nails_32,384,Image_2,otm,32,3,0.944,0.81,0.872,7.389
Nails_32,384,Image_3,otm,32,3,0.69,0.952,0.8,20.133
Nails_32,384,Image_4,otm,32,3,0.714,0.682,0.698,13.165
Nails_32,384,Image_5,otm,32,3,0.528,0.826,0.644,16.903
Nails_32,384,Image_6,otm,32,3,0.143,0.174,0.157,21.154
Nails_32,384,Image_7,otm,32,3,0.429,0.714,0.536,16.615
Nails_32,384,Image_8,otm,32,3,0.652,0.682,0.667,16.37
Nails_32,384,Image_9,otm,32,3,0.429,0.652,0.517,17.04
Nails_32,45,Image_0_30,otm,32,3,0.821,0.338,0.479,17.351
Nails_32,45,Image_1,otm,32,3,0.564,0.855,0.679,32.007
Nails_32,45,Image_10,otm,32,3,0.516,0.195,0.283,20.614
Nails_32,45,Image_2,otm,32,3,0.75,0.309,0.438,14.336
Nails_32,45,Image_3,otm,32,3,1.0,0.343,0.511,12.682
Nails_32,45,Image_4,otm,32,3,0.694,0.347,0.463,13.206
Nails_32,45,Image_5,otm,32,3,0.833,0.278,0.417,12.648
Nails_32,45,Image_6,otm,32,3,0.647,0.297,0.407,11.062
Nails_32,45,Image_7,otm,32,3,0.694,0.368,0.481,10.938
Nails_32,45,Image_8,otm,32,3,0.514,0.265,0.35,12.223
Nails_32,45,Image_9,otm,32,3,0.679,0.486,0.567,29.753
Nails_32,68,Image_0_30,otm,32,3,0.762,0.314,0.444,12.655
Nails_32,68,Image_1,otm,32,3,0.778,0.673,0.722,16.788
Nails_32,68,Image_10,otm,32,3,0.577,0.288,0.385,16.422
Nails_32,68,Image_2,otm,32,3,0.833,0.294,0.435,9.731
Nails_32,68,Image_3,otm,32,3,1.0,0.431,0.603,13.833
Nails_32,68,Image_4,otm,32,3,0.6,0.294,0.395,14.71
Nails_32,68,Image_5,otm,32,3,0.789,0.312,0.448,10.9
Nails_32,68,Image_6,otm,32,3,0.808,0.457,0.583,13.471
Nails_32,68,Image_7,otm,32,3,0.37,0.217,0.274,16.534
Nails_32,68,Image_8,otm,32,3,0.731,0.413,0.528,10.32
Nails_32,68,Image_9,otm,32,3,0.733,0.449,0.557,23.27
Nuts,28,Image_0_50,otm,32,3,0.962,0.894,0.927,15.678
Nuts,28,Image_1,otm,32,3,0.988,0.92,0.953,10.928
Nuts,28,Image_10,otm,32,3,0.987,0.906,0.945,12.514
Nuts,28,Image_2,otm,32,3,0.988,0.921,0.953,17.701
Nuts,28,Image_3,otm,32,3,0.951,0.867,0.907,15.752
Nuts,28,Image_4,otm,32,3,0.988,0.944,0.966,17.444
Nuts,28,Image_5,otm,32,3,1.0,0.893,0.943,12.274
Nuts,28,Image_6,otm,32,3,0.961,0.871,0.914,14.145
Nuts,28,Image_7,otm,32,3,0.974,0.862,0.915,14.895
Nuts,28,Image_8,otm,32,3,0.964,0.86,0.909,18.046
Nuts,28,Image_9,otm,32,3,0.929,0.878,0.903,18.038
Nuts,384,Image_0_50,otm,32,3,1.0,0.917,0.957,2.521
Nuts,384,Image_1,otm,32,3,1.0,0.929,0.963,3.003
Nuts,384,Image_10,otm,32,3,0.875,0.7,0.778,2.468
Nuts,384,Image_2,otm,32,3,0.833,0.625,0.714,1.579
Nuts,384,Image_3,otm,32,3,1.0,0.867,0.929,4.665
Nuts,384,Image_4,otm,32,3,1.0,0.818,0.9,2.972
Nuts,384,Image_5,otm,32,3,1.0,0.615,0.762,2.88
Nuts,384,Image_6,otm,32,3,1.0,0.667,0.8,2.219
Nuts,384,Image_7,otm,32,3,0.75,0.429,0.545,1.771
Nuts,384,Image_8,otm,32,3,1.0,0.75,0.857,2.374
Nuts,384,Image_9,otm,32,3,0.667,0.286,0.4,2.013
Nuts,45,Image_0_50,otm,32,3,1.0,0.804,0.892,9.349
Nuts,45,Image_1,otm,32,3,1.0,0.756,0.861,6.707
Nuts,45,Image_10,otm,32,3,1.0,0.763,0.866,6.736
