object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,64,3,0.47,0.552,0.508,294.75
Nails_23,28,Image_1,otm,64,3,0.447,0.697,0.545,175.381
Nails_23,28,Image_10,otm,64,3,0.529,0.879,0.661,250.188
Nails_23,28,Image_2,otm,64,3,0.605,0.743,0.667,332.011
Nails_23,28,Image_3,otm,64,3,0.623,0.835,0.714,176.832
Nails_23,28,Image_4,otm,64,3,0.408,0.914,0.564,376.726
Nails_23,28,Image_5,otm,64,3,0.409,0.567,0.475,181.092
Nails_23,28,Image_6,otm,64,3,0.729,0.577,0.644,134.658
Nails_23,28,Image_7,otm,64,3,0.548,0.801,0.651,241.211
Nails_23,28,Image_8,otm,64,3,0.656,0.726,0.689,183.901
Nails_23,28,Image_9,otm,64,3,0.603,0.8,0.688,206.254
Nails_23,384,Image_0_30,otm,64,3,0.526,0.952,0.678,9.786
Nails_23,384,Image_1,otm,64,3,0.468,1.0,0.638,21.026
Nails_23,384,Image_10,otm,64,3,0.396,0.84,0.538,33.386
Nails_23,384,Image_2,otm,64,3,0.5,0.81,0.618,9.923
Nails_23,384,Image_3,otm,64,3,0.405,0.81,0.54,22.205
Nails_23,384,Image_4,otm,64,3,0.368,0.955,0.532,31.672
Nails_23,384,Image_5,otm,64,3,0.311,1.0,0.474,45.137
Nails_23,384,Image_6,otm,64,3,0.306,0.957,0.463,40.698
Nails_23,384,Image_7,otm,64,3,0.366,0.714,0.484,23.852
Nails_23,384,Image_8,otm,64,3,0.297,1.0,0.458,35.485
Nails_23,384,Image_9,otm,64,3,0.485,0.696,0.571,9.802
Nails_23,45,Image_0_30,otm,64,3,0.392,0.588,0.471,33.352
Nails_23,45,Image_1,otm,64,3,0.583,0.452,0.509,19.604
Nails_23,45,Image_10,otm,64,3,0.45,0.72,0.554,95.672
Nails_23,45,Image_2,otm,64,3,0.837,0.603,0.701,22.671
Nails_23,45,Image_3,otm,64,3,0.535,0.757,0.627,48.082
Nails_23,45,Image_4,otm,64,3,0.532,0.694,0.602,70.955
Nails_23,45,Image_5,otm,64,3,0.506,0.556,0.53,47.726
Nails_23,45,Image_6,otm,64,3,0.632,0.743,0.683,40.647
Nails_23,45,Image_7,otm,64,3,0.416,0.941,0.577,126.498
Nails_23,45,Image_8,otm,64,3,0.61,0.897,0.726,48.66
Nails_23,45,Image_9,otm,64,3,0.552,0.784,0.648,57.53
Nails_23,68,Image_0_30,otm,64,3,0.575,0.451,0.505,20.924
Nails_23,68,Image_1,otm,64,3,0.633,0.731,0.679,36.048
Nails_23,68,Image_10,otm,64,3,0.568,0.885,0.692,43.869
Nails_23,68,Image_2,otm,64,3,0.78,0.627,0.696,22.213
Nails_23,68,Image_3,otm,64,3,0.325,0.961,0.485,92.305
Nails_23,68,Image_4,otm,64,3,0.34,0.941,0.5,84.874
Nails_23,68,Image_5,otm,64,3,0.471,0.667,0.552,30.853
Nails_23,68,Image_6,otm,64,3,0.35,0.913,0.506,58.617
Nails_23,68,Image_7,otm,64,3,0.383,0.891,0.536,53.635
Nails_23,68,Image_8,otm,64,3,0.387,0.891,0.539,47.794
Nails_23,68,Image_9,otm,64,3,0.464,0.653,0.542,40.748
Nails_32,28,Image_0_30,otm,64,3,0.649,0.59,0.618,205.759
Nails_32,28,Image_1,otm,64,3,0.545,0.733,0.625,163.23
Nails_32,28,Image_10,otm,64,3,0.699,0.374,0.487,113.27
Nails_32,28,Image_2,otm,64,3,0.82,0.618,0.705,212.987
Nails_32,28,Image_3,otm,64,3,0.973,0.599,0.741,88.998
Nails_32,28,Image_4,otm,64,3,0.601,0.701,0.647,198.438
Nails_32,28,Image_5,otm,64,3,0.689,0.596,0.639,141.032
Nails_32,28,Image_6,otm,64,3,0.752,0.582,0.656,130.963
Nails_32,28,Image_7,otm,64,3,0.826,0.556,0.664,118.207
Nails_32,28,Image_8,otm,64,3,0.806,0.518,0.63,106.439
Nails_32,28,Image_9,otm,64,3,0.615,0.873,0.722,204.586
Nails_32,45,Image_0_30,otm,64,3,0.631,0.779,0.697,45.41
Nails_32,45,Image_1,otm,64,3,0.556,0.887,0.683,27.736
Nails_32,45,Image_10,otm,64,3,0.431,0.341,0.381,32.71
Nails_32,45,Image_2,otm,64,3,0.538,0.515,0.526,33.22
Nails_32,45,Image_3,otm,64,3,0.693,0.743,0.717,38.864
Nails_32,45,Image_4,otm,64,3,0.518,0.597,0.555,53.515
Nails_32,45,Image_5,otm,64,3,0.557,0.472,0.511,53.017
Nails_32,45,Image_6,otm,64,3,0.464,0.689,0.554,82.337
Nails_32,45,Image_7,otm,64,3,0.579,0.809,0.675,92.503
Nails_32,45,Image_8,otm,64,3,0.633,0.559,0.594,38.754
Nails_32,45,Image_9,otm,64,3,0.508,0.878,0.644,91.607
Nails_32,68,Image_0_30,otm,64,3,0.553,0.922,0.691,56.517
Nails_32,68,Image_1,otm,64,3,0.706,0.692,0.699,24.769
Nails_32,68,Image_10,otm,64,3,0.69,0.558,0.617,25.727
Nails_32,68,Image_2,otm,64,3,0.645,0.784,0.708,38.668
Nails_32,68,Image_3,otm,64,3,0.6,1.0,0.75,58.82
Nails_32,68,Image_4,otm,64,3,0.588,0.588,0.588,35.21
