object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,64,3,0.498,0.556,0.525,267.718
Nails_23,28,Image_1,otm,64,3,0.463,0.461,0.462,113.555
Nails_23,28,Image_10,otm,64,3,0.636,0.753,0.689,202.451
Nails_23,28,Image_2,otm,64,3,0.593,0.611,0.602,272.589
Nails_23,28,Image_3,otm,64,3,0.847,0.637,0.727,110.691
Nails_23,28,Image_4,otm,64,3,0.368,0.385,0.376,183.984
Nails_23,28,Image_5,otm,64,3,0.477,0.31,0.376,113.897
Nails_23,28,Image_6,otm,64,3,0.582,0.527,0.553,151.01
Nails_23,28,Image_7,otm,64,3,0.512,0.614,0.559,194.838
Nails_23,28,Image_8,otm,64,3,0.553,0.56,0.556,154.395
Nails_23,28,Image_9,otm,64,3,0.545,0.879,0.673,234.454
Nails_23,384,Image_0_30,otm,64,3,0.239,1.0,0.385,38.592
Nails_23,384,Image_1,otm,64,3,0.349,1.0,0.518,33.06
Nails_23,384,Image_10,otm,64,3,0.352,1.0,0.521,53.618
Nails_23,384,Image_2,otm,64,3,0.339,1.0,0.506,35.77
Nails_23,384,Image_3,otm,64,3,0.435,0.952,0.597,28.284
Nails_23,384,Image_4,otm,64,3,0.349,1.0,0.518,54.546
Nails_23,384,Image_5,otm,64,3,0.189,1.0,0.317,108.654
Nails_23,384,Image_6,otm,64,3,0.229,0.957,0.37,58.811
Nails_23,384,Image_7,otm,64,3,0.341,0.714,0.462,28.313
Nails_23,384,Image_8,otm,64,3,0.148,1.0,0.257,112.525
Nails_23,384,Image_9,otm,64,3,0.211,1.0,0.348,77.228
Nails_23,45,Image_0_30,otm,64,3,0.396,0.647,0.492,80.167
Nails_23,45,Image_1,otm,64,3,0.5,0.484,0.492,29.569
Nails_23,45,Image_10,otm,64,3,0.376,0.39,0.383,86.595
Nails_23,45,Image_2,otm,64,3,0.515,0.515,0.515,36.219
Nails_23,45,Image_3,otm,64,3,0.568,0.657,0.609,44.078
Nails_23,45,Image_4,otm,64,3,0.686,0.667,0.676,42.501
Nails_23,45,Image_5,otm,64,3,0.593,0.486,0.534,53.184
Nails_23,45,Image_6,otm,64,3,0.608,0.797,0.69,66.748
Nails_23,45,Image_7,otm,64,3,0.592,0.853,0.699,70.38
Nails_23,45,Image_8,otm,64,3,0.578,0.868,0.694,81.952
Nails_23,45,Image_9,otm,64,3,0.489,0.878,0.628,106.67
Nails_23,68,Image_0_30,otm,64,3,0.596,0.667,0.63,39.467
Nails_23,68,Image_1,otm,64,3,0.689,0.596,0.639,21.313
Nails_23,68,Image_10,otm,64,3,0.521,0.942,0.671,86.85
Nails_23,68,Image_2,otm,64,3,0.392,1.0,0.564,94.891
Nails_23,68,Image_3,otm,64,3,0.327,0.961,0.488,109.689
Nails_23,68,Image_4,otm,64,3,0.373,0.98,0.541,97.356
Nails_23,68,Image_5,otm,64,3,0.579,0.688,0.629,44.917
Nails_23,68,Image_6,otm,64,3,0.436,0.957,0.599,54.008
Nails_23,68,Image_7,otm,64,3,0.277,1.0,0.434,99.279
Nails_23,68,Image_8,otm,64,3,0.197,1.0,0.33,158.805
Nails_23,68,Image_9,otm,64,3,0.268,0.98,0.421,145.954
Nails_32,28,Image_0_30,otm,64,3,0.714,0.451,0.553,129.528
Nails_32,28,Image_1,otm,64,3,0.549,0.715,0.621,122.53
Nails_32,28,Image_10,otm,64,3,0.492,0.178,0.262,55.059
Nails_32,28,Image_2,otm,64,3,0.771,0.469,0.583,156.507
Nails_32,28,Image_3,otm,64,3,0.983,0.319,0.481,38.797
Nails_32,28,Image_4,otm,64,3,0.769,0.402,0.528,94.357
Nails_32,28,Image_5,otm,64,3,0.654,0.52,0.58,101.043
Nails_32,28,Image_6,otm,64,3,0.721,0.44,0.546,89.475
Nails_32,28,Image_7,otm,64,3,0.739,0.199,0.313,28.56
Nails_32,28,Image_8,otm,64,3,0.625,0.149,0.24,19.177
Nails_32,28,Image_9,otm,64,3,0.533,0.588,0.559,148.559
Nails_32,384,Image_0_30,otm,64,3,0.404,1.0,0.575,24.437
Nails_32,384,Image_1,otm,64,3,0.208,1.0,0.344,25.567
Nails_32,384,Image_10,otm,64,3,0.436,0.96,0.6,32.758
Nails_32,384,Image_2,otm,64,3,0.467,1.0,0.636,19.425
Nails_32,384,Image_3,otm,64,3,0.339,1.0,0.506,33.266
Nails_32,384,Image_4,otm,64,3,0.423,1.0,0.595,25.599
Nails_32,384,Image_5,otm,64,3,0.315,1.0,0.479,31.016
Nails_32,384,Image_6,otm,64,3,0.297,0.478,0.367,15.382
Nails_32,384,Image_7,otm,64,3,0.311,0.905,0.463,39.134
Nails_32,384,Image_8,otm,64,3,0.69,0.909,0.784,18.088
Nails_32,384,Image_9,otm,64,3,0.339,0.913,0.494,40.172
Nails_32,45,Image_0_30,otm,64,3,0.718,0.412,0.523,13.024
Nails_32,45,Image_1,otm,64,3,0.455,0.887,0.601,39.709
Nails_32,45,Image_10,otm,64,3,0.294,0.122,0.172,14.891
Nails_32,45,Image_2,otm,64,3,0.667,0.412,0.509,15.019
Nails_32,45,Image_3,otm,64,3,1.0,0.557,0.716,12.621
Nails_32,45,Image_4,otm,64,3,0.48,0.167,0.247,16.295
Nails_32,45,Image_5,otm,64,3,0.619,0.181,0.28,10.975
Nails_32,45,Image_6,otm,64,3,0.512,0.297,0.376,21.728
Nails_32,45,Image_7,otm,64,3,0.565,0.191,0.286,15.669
Nails_32,45,Image_8,otm,64,3,0.588,0.147,0.235,7.552
Nails_32,45,Image_9,otm,64,3,0.416,0.432,0.424,38.968
Nails_32,68,Image_0_30,otm,64,3,0.9,0.529,0.667,21.145
Nails_32,68,Image_1,otm,64,3,0.672,0.827,0.741,22.186
Nails_32,68,Image_10,otm,64,3,0.583,0.269,0.368,14.144
Nails_32,68,Image_2,otm,64,3,0.51,0.51,0.51,33.665
Nails_32,68,Image_3,otm,64,3,0.714,0.98,0.826,33.749
Nails_32,68,Image_4,otm,64,3,0.711,0.529,0.607,19.269
Nails_32,68,Image_5,otm,64,3,0.547,0.854,0.667,40.037
Nails_32,68,Image_6,otm,64,3,0.561,0.696,0.621,30.162
Nails_32,68,Image_7,otm,64,3,0.421,0.174,0.246,6.223
Nails_32,68,Image_8,otm,64,3,0.703,0.565,0.627,11.427
Nails_32,68,Image_9,otm,64,3,0.714,0.51,0.595,16.306
Nuts,28,Image_0_50,otm,64,3,0.951,0.906,0.928,19.118
Nuts,28,Image_1,otm,64,3,0.94,0.886,0.912,18.918
Nuts,28,Image_10,otm,64,3,0.975,0.918,0.945,16.335
Nuts,28,Image_2,otm,64,3,0.953,0.921,0.937,22.663
Nuts,28,Image_3,otm,64,3,0.965,0.911,0.937,20.677
Nuts,28,Image_4,otm,64,3,0.988,0.91,0.947,13.604
Nuts,28,Image_5,otm,64,3,1.0,0.905,0.95,6.962
Nuts,28,Image_6,otm,64,3,0.963,0.929,0.946,18.604
Nuts,28,Image_7,otm,64,3,0.947,0.828,0.883,16.046
Nuts,28,Image_8,otm,64,3,0.988,0.903,0.944,20.061
Nuts,28,Image_9,otm,64,3,0.953,0.911,0.932,18.398
Nuts,384,Image_0_50,otm,64,3,0.923,1.0,0.96,2.644
Nuts,384,Image_1,otm,64,3,0.875,1.0,0.933,4.175
Nuts,384,Image_10,otm,64,3,1.0,0.9,0.947,1.785
Nuts,384,Image_2,otm,64,3,1.0,0.75,0.857,1.429
Nuts,384,Image_3,otm,64,3,0.938,1.0,0.968,4.016
Nuts,384,Image_4,otm,64,3,0.909,0.909,0.909,2.814
Nuts,384,Image_5,otm,64,3,1.0,0.692,0.818,1.865
Nuts,384,Image_6,otm,64,3,0.909,0.833,0.87,2.773
Nuts,384,Image_7,otm,64,3,1.0,0.429,0.6,1.393
Nuts,384,Image_8,otm,64,3,0.778,0.875,0.824,3.819
Nuts,384,Image_9,otm,64,3,0.5,0.143,0.222,1.547
Nuts,45,Image_0_50,otm,64,3,0.938,0.978,0.957,14.575
Nuts,45,Image_1,otm,64,3,0.925,0.902,0.914,8.327
Nuts,45,Image_10,otm,64,3,0.946,0.921,0.933,7.648
Nuts,45,Image_2,otm,64,3,0.953,1.0,0.976,10.119
Nuts,45,Image_3,otm,64,3,0.914,0.889,0.901,5.576
Nuts,45,Image_4,otm,64,3,0.853,0.879,0.866,4.08
Nuts,45,Image_5,otm,64,3,1.0,0.971,0.985,4.516
Nuts,45,Image_6,otm,64,3,1.0,0.917,0.957,4.129
Nuts,45,Image_7,otm,64,3,1.0,0.857,0.923,2.387
Nuts,45,Image_8,otm,64,3,1.0,0.933,0.966,4.391
Nuts,45,Image_9,otm,64,3,0.972,0.921,0.946,6.477
Nuts,68,Image_0_50,otm,64,3,0.923,0.947,0.935,8.664
Nuts,68,Image_1,otm,64,3,0.933,0.966,0.949,8.781
Nuts,68,Image_10,otm,64,3,0.903,0.933,0.918,5.553
Nuts,68,Image_2,otm,64,3,0.935,0.967,0.951,9.315
Nuts,68,Image_3,otm,64,3,1.0,0.923,0.96,4.673
Nuts,68,Image_4,otm,64,3,0.88,0.846,0.863,6.779
Nuts,68,Image_5,otm,64,3,1.0,0.903,0.949,5.254
Nuts,68,Image_6,otm,64,3,1.0,0.828,0.906,3.367
Nuts,68,Image_7,otm,64,3,1.0,0.938,0.968,2.234
Nuts,68,Image_8,otm,64,3,0.96,0.96,0.96,4.035
Nuts,68,Image_9,otm,64,3,1.0,1.0,1.0,5.866
Pins2,28,Image_0,otm,64,3,0.994,0.952,0.972,54.876
Pins2,28,Image_1,otm,64,3,0.96,0.912,0.935,42.923
Pins2,28,Image_10,otm,64,3,0.981,0.916,0.947,43.327
Pins2,28,Image_2,otm,64,3,0.934,0.916,0.925,30.292
Pins2,28,Image_3,otm,64,3,0.955,0.925,0.939,56.42
Pins2,28,Image_4,otm,64,3,0.993,0.928,0.959,29.063
Pins2,28,Image_5,otm,64,3,0.993,0.944,0.968,18.753
Pins2,28,Image_6,otm,64,3,0.929,0.905,0.917,41.145
Pins2,28,Image_7,otm,64,3,0.98,0.926,0.952,45.661
Pins2,28,Image_8,otm,64,3,0.98,0.932,0.955,42.755
Pins2,28,Image_9,otm,64,3,0.986,0.887,0.934,33.973
Pins2,384,Image_0,otm,64,3,1.0,0.562,0.72,2.125
Pins2,384,Image_1,otm,64,3,1.0,0.778,0.875,1.504
Pins2,384,Image_10,otm,64,3,1.0,0.909,0.952,2.033
Pins2,384,Image_2,otm,64,3,1.0,0.833,0.909,2.215
Pins2,384,Image_3,otm,64,3,0.778,0.778,0.778,2.083
Pins2,45,Image_0,otm,64,3,1.0,0.898,0.946,8.945
Pins2,45,Image_1,otm,64,3,1.0,0.93,0.964,12.77
Pins2,45,Image_10,otm,64,3,1.0,0.87,0.931,9.033
Pins2,45,Image_2,otm,64,3,1.0,0.931,0.964,12.971
Pins2,45,Image_3,otm,64,3,1.0,0.932,0.965,17.537
Pins2,45,Image_4,otm,64,3,0.97,0.928,0.948,12.789
Pins2,45,Image_5,otm,64,3,0.956,0.903,0.929,14.277
Pins2,45,Image_6,otm,64,3,1.0,0.908,0.952,15.328
Pins2,45,Image_7,otm,64,3,0.983,0.921,0.951,14.901
Pins2,45,Image_8,otm,64,3,1.0,0.933,0.966,12.556
Pins2,45,Image_9,otm,64,3,0.964,0.931,0.947,7.426
Pins2,68,Image_0,otm,64,3,1.0,0.938,0.968,10.229
Pins2,68,Image_1,otm,64,3,1.0,0.812,0.897,3.748
