object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.432,0.299,0.353,131.862
Nails_23,28,Image_1,otm,32,3,0.303,0.364,0.331,100.057
Nails_23,28,Image_10,otm,32,3,0.377,0.678,0.485,205.045
Nails_23,28,Image_2,otm,32,3,0.617,0.347,0.444,118.323
Nails_23,28,Image_3,otm,32,3,0.439,0.374,0.404,104.425
Nails_23,28,Image_4,otm,32,3,0.282,0.695,0.401,298.461
Nails_23,28,Image_5,otm,32,3,0.256,0.357,0.298,163.518
Nails_23,28,Image_6,otm,32,3,0.532,0.363,0.431,92.152
Nails_23,28,Image_7,otm,32,3,0.359,0.702,0.475,228.659
Nails_23,28,Image_8,otm,32,3,0.651,0.589,0.619,101.71
Nails_23,28,Image_9,otm,32,3,0.42,0.721,0.531,199.828
Nails_23,384,Image_0_30,otm,32,3,0.21,1.0,0.347,31.72
Nails_23,384,Image_1,otm,32,3,0.167,0.955,0.284,38.879
Nails_23,384,Image_10,otm,32,3,0.1,1.0,0.181,111.941
Nails_23,384,Image_2,otm,32,3,0.22,0.952,0.357,27.916
Nails_23,384,Image_3,otm,32,3,0.119,1.0,0.212,61.882
Nails_23,384,Image_4,otm,32,3,0.109,1.0,0.197,76.768
Nails_23,384,Image_5,otm,32,3,0.104,1.0,0.189,101.094
Nails_23,384,Image_6,otm,32,3,0.09,0.957,0.165,105.466
Nails_23,384,Image_7,otm,32,3,0.063,1.0,0.118,141.909
Nails_23,384,Image_8,otm,32,3,0.077,1.0,0.143,114.753
Nails_23,384,Image_9,otm,32,3,0.097,1.0,0.176,91.437
Nails_23,45,Image_0_30,otm,32,3,0.305,0.691,0.423,84.141
Nails_23,45,Image_1,otm,32,3,0.345,0.774,0.478,38.889
Nails_23,45,Image_10,otm,32,3,0.209,0.854,0.336,174.981
Nails_23,45,Image_2,otm,32,3,0.51,0.721,0.598,34.686
Nails_23,45,Image_3,otm,32,3,0.192,0.943,0.319,169.654
Nails_23,45,Image_4,otm,32,3,0.27,0.944,0.42,142.522
Nails_23,45,Image_5,otm,32,3,0.212,0.958,0.348,179.118
Nails_23,45,Image_6,otm,32,3,0.5,0.905,0.644,70.389
Nails_23,45,Image_7,otm,32,3,0.192,0.971,0.32,189.584
Nails_23,45,Image_8,otm,32,3,0.247,0.971,0.394,127.446
Nails_23,45,Image_9,otm,32,3,0.256,0.946,0.403,143.969
Nails_23,68,Image_0_30,otm,32,3,0.494,0.824,0.618,38.723
Nails_23,68,Image_1,otm,32,3,0.379,0.692,0.49,38.337
Nails_23,68,Image_10,otm,32,3,0.173,0.981,0.294,143.586
Nails_23,68,Image_2,otm,32,3,0.474,0.706,0.567,29.06
Nails_23,68,Image_3,otm,32,3,0.171,1.0,0.292,151.419
Nails_23,68,Image_4,otm,32,3,0.25,0.941,0.395,87.905
Nails_23,68,Image_5,otm,32,3,0.126,0.958,0.223,180.028
Nails_23,68,Image_6,otm,32,3,0.197,0.978,0.327,108.43
Nails_23,68,Image_7,otm,32,3,0.102,1.0,0.185,212.317
Nails_23,68,Image_8,otm,32,3,0.164,1.0,0.281,131.45
Nails_23,68,Image_9,otm,32,3,0.178,1.0,0.302,129.67
Nails_32,28,Image_0_30,otm,32,3,0.522,0.413,0.461,147.732
Nails_32,28,Image_1,otm,32,3,0.351,0.776,0.483,203.872
Nails_32,28,Image_10,otm,32,3,0.438,0.626,0.515,180.495
Nails_32,28,Image_2,otm,32,3,0.728,0.427,0.538,131.365
Nails_32,28,Image_3,otm,32,3,0.896,0.379,0.533,35.976
Nails_32,28,Image_4,otm,32,3,0.409,0.454,0.431,124.181
Nails_32,28,Image_5,otm,32,3,0.395,0.409,0.402,104.931
Nails_32,28,Image_6,otm,32,3,0.461,0.324,0.381,70.239
Nails_32,28,Image_7,otm,32,3,0.386,0.374,0.38,109.035
Nails_32,28,Image_8,otm,32,3,0.694,0.458,0.552,74.899
Nails_32,28,Image_9,otm,32,3,0.339,0.842,0.483,282.601
Nails_32,384,Image_0_30,otm,32,3,0.127,1.0,0.226,63.142
Nails_32,384,Image_1,otm,32,3,0.108,0.955,0.194,72.856
Nails_32,384,Image_10,otm,32,3,0.092,1.0,0.168,88.506
Nails_32,384,Image_2,otm,32,3,0.2,1.0,0.333,28.235
Nails_32,384,Image_3,otm,32,3,0.097,1.0,0.177,98.646
Nails_32,384,Image_4,otm,32,3,0.124,1.0,0.221,77.208
