object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.511,0.323,0.396,130.125
Nails_23,28,Image_1,otm,32,3,0.244,0.255,0.249,93.169
Nails_23,28,Image_10,otm,32,3,0.452,0.592,0.512,160.055
Nails_23,28,Image_2,otm,32,3,0.688,0.413,0.516,146.606
Nails_23,28,Image_3,otm,32,3,0.727,0.44,0.548,75.669
Nails_23,28,Image_4,otm,32,3,0.351,0.632,0.452,240.913
Nails_23,28,Image_5,otm,32,3,0.256,0.269,0.262,131.276
Nails_23,28,Image_6,otm,32,3,0.592,0.423,0.494,87.416
Nails_23,28,Image_7,otm,32,3,0.351,0.357,0.354,123.372
Nails_23,28,Image_8,otm,32,3,0.825,0.506,0.627,72.67
Nails_23,28,Image_9,otm,32,3,0.545,0.776,0.64,164.412
Nails_23,384,Image_0_30,otm,32,3,0.174,1.0,0.296,42.721
Nails_23,384,Image_1,otm,32,3,0.151,1.0,0.262,47.618
Nails_23,384,Image_10,otm,32,3,0.124,1.0,0.22,86.979
Nails_23,384,Image_2,otm,32,3,0.256,1.0,0.408,24.173
Nails_23,384,Image_3,otm,32,3,0.116,1.0,0.208,77.892
Nails_23,384,Image_4,otm,32,3,0.103,1.0,0.186,86.13
Nails_23,384,Image_5,otm,32,3,0.114,1.0,0.205,85.287
Nails_23,384,Image_6,otm,32,3,0.12,0.957,0.214,79.238
Nails_23,384,Image_7,otm,32,3,0.103,1.0,0.187,87.318
Nails_23,384,Image_8,otm,32,3,0.111,1.0,0.199,77.567
Nails_23,384,Image_9,otm,32,3,0.138,1.0,0.242,65.525
Nails_23,45,Image_0_30,otm,32,3,0.413,0.632,0.5,35.976
Nails_23,45,Image_1,otm,32,3,0.521,0.613,0.563,15.413
Nails_23,45,Image_10,otm,32,3,0.291,0.829,0.43,123.783
Nails_23,45,Image_2,otm,32,3,0.679,0.559,0.613,26.801
Nails_23,45,Image_3,otm,32,3,0.268,0.843,0.407,70.757
Nails_23,45,Image_4,otm,32,3,0.462,0.847,0.598,50.453
Nails_23,45,Image_5,otm,32,3,0.326,0.806,0.464,75.068
Nails_23,45,Image_6,otm,32,3,0.398,1.0,0.569,81.039
Nails_23,45,Image_7,otm,32,3,0.408,0.941,0.569,76.422
Nails_23,45,Image_8,otm,32,3,0.441,0.926,0.597,51.422
Nails_23,45,Image_9,otm,32,3,0.314,0.959,0.473,84.811
Nails_23,68,Image_0_30,otm,32,3,0.407,0.725,0.521,43.255
Nails_23,68,Image_1,otm,32,3,0.436,0.654,0.523,26.377
Nails_23,68,Image_10,otm,32,3,0.224,0.981,0.364,113.868
Nails_23,68,Image_2,otm,32,3,0.667,0.588,0.625,19.877
Nails_23,68,Image_3,otm,32,3,0.237,1.0,0.383,121.272
Nails_23,68,Image_4,otm,32,3,0.21,1.0,0.347,125.448
Nails_23,68,Image_5,otm,32,3,0.256,0.958,0.404,92.025
Nails_23,68,Image_6,otm,32,3,0.331,0.978,0.495,60.906
Nails_23,68,Image_7,otm,32,3,0.161,1.0,0.278,153.525
Nails_23,68,Image_8,otm,32,3,0.234,1.0,0.379,85.793
Nails_23,68,Image_9,otm,32,3,0.264,0.959,0.414,89.23
Nails_32,28,Image_0_30,otm,32,3,0.661,0.392,0.492,114.871
Nails_32,28,Image_1,otm,32,3,0.407,0.4,0.404,88.1
Nails_32,28,Image_10,otm,32,3,0.633,0.437,0.517,92.783
Nails_32,28,Image_2,otm,32,3,0.756,0.42,0.54,120.907
Nails_32,28,Image_3,otm,32,3,0.935,0.478,0.633,73.401
Nails_32,28,Image_4,otm,32,3,0.372,0.368,0.37,129.804
Nails_32,28,Image_5,otm,32,3,0.484,0.526,0.504,134.293
Nails_32,28,Image_6,otm,32,3,0.372,0.368,0.37,125.627
Nails_32,28,Image_7,otm,32,3,0.5,0.409,0.45,98.185
Nails_32,28,Image_8,otm,32,3,0.74,0.339,0.465,41.293
Nails_32,28,Image_9,otm,32,3,0.461,0.721,0.563,167.925
Nails_32,384,Image_0_30,otm,32,3,0.144,1.0,0.251,66.289
Nails_32,384,Image_1,otm,32,3,0.119,1.0,0.213,75.998
Nails_32,384,Image_10,otm,32,3,0.142,1.0,0.249,56.207
Nails_32,384,Image_2,otm,32,3,0.208,1.0,0.344,25.652
Nails_32,384,Image_3,otm,32,3,0.146,1.0,0.255,48.463
Nails_32,384,Image_4,otm,32,3,0.133,1.0,0.235,68.207
Nails_32,384,Image_5,otm,32,3,0.112,1.0,0.202,97.218
Nails_32,384,Image_6,otm,32,3,0.122,0.957,0.217,86.586
Nails_32,384,Image_7,otm,32,3,0.116,1.0,0.208,89.809
Nails_32,384,Image_8,otm,32,3,0.124,1.0,0.22,76.833
Nails_32,384,Image_9,otm,32,3,0.122,0.957,0.217,78.003
