object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_2,otm,32,0,0.928,0.712,0.806,224.223
Nails_23,28,Image_2,gmms,32,0,0.729,0.559,0.633,37.104
Nails_23,28,Image_2,hdbscan,32,0,0.382,0.045,0.081,16.054
Nails_23,28,Image_0_30,otm,32,0,0.77,0.406,0.532,145.977
Nails_23,28,Image_0_30,gmms,32,0,0.671,0.354,0.464,27.136
Nails_23,28,Image_0_30,hdbscan,32,0,0.36,0.031,0.058,14.336
Nails_23,28,Image_4,otm,32,0,0.754,0.529,0.622,136.189
Nails_23,28,Image_4,gmms,32,0,0.697,0.489,0.574,20.04
Nails_23,28,Image_4,hdbscan,32,0,0.5,0.08,0.139,10.069
Nails_23,28,Image_3,otm,32,0,0.948,0.5,0.655,80.328
Nails_23,28,Image_3,gmms,32,0,0.854,0.451,0.59,19.33
Nails_23,28,Image_3,hdbscan,32,0,0.417,0.055,0.097,9.624
Nails_23,28,Image_7,otm,32,0,0.881,0.561,0.686,115.381
Nails_23,28,Image_7,gmms,32,0,0.651,0.415,0.507,22.323
Nails_23,28,Image_7,hdbscan,32,0,0.567,0.099,0.169,10.869
Nails_23,28,Image_6,otm,32,0,0.854,0.676,0.755,133.306
Nails_23,28,Image_6,gmms,32,0,0.646,0.511,0.571,22.053
Nails_23,28,Image_6,hdbscan,32,0,0.364,0.044,0.078,11.242
Nails_23,28,Image_8,otm,32,0,0.918,0.464,0.617,99.463
Nails_23,28,Image_8,gmms,32,0,0.906,0.458,0.609,13.309
Nails_23,28,Image_8,hdbscan,32,0,0.632,0.071,0.128,9.364
Nails_23,28,Image_5,otm,32,0,0.282,0.257,0.269,161.916
Nails_23,28,Image_5,gmms,32,0,0.353,0.322,0.336,29.984
Nails_23,28,Image_5,hdbscan,32,0,0.111,0.012,0.021,13.779
Nails_23,28,Image_9,otm,32,0,0.896,0.624,0.736,120.327
Nails_23,28,Image_9,gmms,32,0,0.739,0.515,0.607,25.729
Nails_23,28,Image_9,hdbscan,32,0,0.28,0.042,0.074,11.284
Nails_23,28,Image_1,otm,32,0,0.465,0.4,0.43,125.958
Nails_23,28,Image_1,gmms,32,0,0.282,0.242,0.261,20.844
Nails_23,28,Image_1,hdbscan,32,0,0.077,0.006,0.011,10.569
Nails_23,28,Image_10,otm,32,0,0.795,0.557,0.655,136.074
Nails_23,28,Image_10,gmms,32,0,0.738,0.517,0.608,20.723
Nails_23,28,Image_10,hdbscan,32,0,0.286,0.034,0.062,11.063
Nails_23,384,Image_1,otm,32,0,0.625,0.455,0.526,10.417
Nails_23,384,Image_1,gmms,32,0,0.688,0.5,0.579,4.471
Nails_23,384,Image_1,hdbscan,32,0,0.667,0.182,0.286,5.684
Nails_23,384,Image_2,otm,32,0,0.458,0.524,0.489,21.209
Nails_23,384,Image_2,gmms,32,0,0.625,0.714,0.667,4.849
Nails_23,384,Image_2,hdbscan,32,0,0.833,0.238,0.37,4.844
Nails_23,384,Image_6,otm,32,0,0.154,0.087,0.111,8.113
Nails_23,384,Image_6,gmms,32,0,0.308,0.174,0.222,3.594
Nails_23,384,Image_6,hdbscan,32,0,0.375,0.261,0.308,3.79
Nails_23,384,Image_9,otm,32,0,0.455,0.217,0.294,7.885
Nails_23,384,Image_9,gmms,32,0,0.455,0.217,0.294,3.891
Nails_23,384,Image_9,hdbscan,32,0,0.75,0.261,0.387,4.159
Nails_23,384,Image_5,otm,32,0,0.294,0.217,0.25,6.312
Nails_23,384,Image_5,gmms,32,0,0.294,0.217,0.25,3.731
Nails_23,384,Image_5,hdbscan,32,0,0.214,0.13,0.162,3.964
Nails_23,384,Image_10,otm,32,0,0.5,0.4,0.444,18.454
Nails_23,384,Image_10,gmms,32,0,0.65,0.52,0.578,5.329
Nails_23,384,Image_10,hdbscan,32,0,0.7,0.28,0.4,5.256
Nails_23,384,Image_3,otm,32,0,0.455,0.238,0.312,7.393
Nails_23,384,Image_3,gmms,32,0,0.455,0.238,0.312,3.92
Nails_23,384,Image_3,hdbscan,32,0,0.412,0.333,0.368,3.782
Nails_23,384,Image_7,otm,32,0,0.25,0.095,0.138,4.319
Nails_23,384,Image_7,gmms,32,0,0.25,0.095,0.138,3.284
Nails_23,384,Image_7,hdbscan,32,0,0.3,0.286,0.293,3.325
Nails_23,384,Image_4,otm,32,0,0.583,0.318,0.412,7.501
Nails_23,384,Image_4,gmms,32,0,0.667,0.364,0.471,2.747
Nails_23,384,Image_4,hdbscan,32,0,0.444,0.182,0.258,3.0
Nails_23,384,Image_0_30,otm,32,0,1.0,0.238,0.385,5.295
Nails_23,384,Image_0_30,gmms,32,0,1.0,0.238,0.385,2.569
Nails_23,384,Image_0_30,hdbscan,32,0,1.0,0.143,0.25,3.174
Nails_23,384,Image_8,otm,32,0,0.5,0.409,0.45,9.624
Nails_23,384,Image_8,gmms,32,0,0.667,0.545,0.6,4.933
Nails_23,384,Image_8,hdbscan,32,0,0.778,0.318,0.452,5.077
