object,size,image_name,method,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,0.809,0.587,0.68,7.876
Nails_23,28,Image_0_30,gmms,0.852,0.618,0.716,4.118
Nails_23,28,Image_0_30,hdbscan,0.931,0.281,0.432,2.458
Nails_23,28,Image_1,otm,0.776,0.588,0.669,3.823
Nails_23,28,Image_1,gmms,0.808,0.612,0.697,2.349
Nails_23,28,Image_1,hdbscan,0.861,0.188,0.308,1.88
Nails_23,28,Image_10,otm,0.899,0.764,0.826,6.353
Nails_23,28,Image_10,gmms,0.926,0.787,0.851,2.997
Nails_23,28,Image_10,hdbscan,0.951,0.333,0.494,2.289
Nails_23,28,Image_2,otm,0.856,0.743,0.796,12.23
Nails_23,28,Image_2,gmms,0.92,0.799,0.855,5.437
Nails_23,28,Image_2,hdbscan,1.0,0.458,0.629,5.457
Nails_23,28,Image_3,otm,0.881,0.775,0.825,4.881
Nails_23,28,Image_3,gmms,0.931,0.819,0.871,3.133
Nails_23,28,Image_3,hdbscan,0.985,0.363,0.53,2.11
Nails_23,28,Image_4,otm,0.767,0.718,0.742,3.811
Nails_23,28,Image_4,gmms,0.828,0.776,0.801,2.897
Nails_23,28,Image_4,hdbscan,0.939,0.264,0.413,2.076
Nails_23,28,Image_5,otm,0.72,0.678,0.699,4.837
Nails_23,28,Image_5,gmms,0.745,0.702,0.723,2.899
Nails_23,28,Image_5,hdbscan,0.806,0.17,0.28,2.136
Nails_23,28,Image_6,otm,0.926,0.83,0.875,7.165
Nails_23,28,Image_6,gmms,0.902,0.808,0.852,2.886
Nails_23,28,Image_6,hdbscan,0.973,0.401,0.568,2.089
Nails_23,28,Image_7,otm,0.702,0.661,0.681,5.768
Nails_23,28,Image_7,gmms,0.776,0.731,0.753,2.917
Nails_23,28,Image_7,hdbscan,0.942,0.474,0.63,2.149
Nails_23,28,Image_8,otm,0.918,0.536,0.677,1.891
Nails_23,28,Image_8,gmms,0.98,0.571,0.722,2.071
Nails_23,28,Image_8,hdbscan,0.957,0.131,0.23,1.828
Nails_23,28,Image_9,otm,0.846,0.733,0.786,5.25
Nails_23,28,Image_9,gmms,0.895,0.776,0.831,2.385
Nails_23,28,Image_9,hdbscan,0.871,0.327,0.476,2.118
Nails_23,384,Image_0_30,otm,0.941,0.762,0.842,1.203
Nails_23,384,Image_1,otm,0.667,0.636,0.651,1.264
Nails_23,384,Image_10,otm,0.477,0.84,0.609,1.39
Nails_23,384,Image_2,otm,0.842,0.762,0.8,1.281
Nails_23,384,Image_3,otm,0.789,0.714,0.75,1.246
Nails_23,384,Image_4,otm,0.8,0.727,0.762,1.225
Nails_23,384,Image_5,otm,0.81,0.739,0.773,1.289
Nails_23,384,Image_6,otm,0.696,0.696,0.696,1.374
Nails_23,384,Image_7,otm,0.565,0.619,0.591,1.247
