image_name,resized_size,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,aspect_ratio
Image_7362,384,34,33,33,1.92,0.97
Image_7382,384,58,32,43,3.51,0.55
Image_6862,384,22,21,21,1.71,0.95
Image_7444,384,55,35,44,1.76,0.64
Image_6802,384,50,26,36,2.58,0.52
Image_7070,384,68,66,67,1.89,0.97
Image_7450,384,49,50,49,2.84,1.02
Image_7291,384,53,57,55,4.99,1.08
Image_7632,384,52,62,57,2.9,1.19
Image_7534,384,45,84,61,4.48,1.87
Image_6770,384,280,7,44,0.97,0.03
Image_6800,384,206,8,41,1.13,0.04
Image_7066,384,224,7,40,1.19,0.03
Image_7307,384,219,13,53,1.89,0.06
Image_7630,384,307,12,61,1.63,0.04
Image_6738,384,219,9,44,0.69,0.04
Image_7471,384,138,7,31,0.97,0.05
Image_7083,384,293,17,71,1.59,0.06
Image_7577,384,168,18,55,1.72,0.11
Image_7517,384,53,71,61,1.59,1.34
Image_7179,384,31,42,36,2.57,1.35
Image_7406,384,29,41,34,2.64,1.41
Image_6884,384,38,53,45,0.97,1.39
Image_6845,384,51,83,65,2.07,1.63
Image_7037,384,48,34,40,1.37,0.71
Image_7364,384,18,37,26,2.85,2.06
Image_7579,384,39,128,71,5.81,3.28
Image_7215,384,14,12,13,2.41,0.86
Image_7022,384,44,49,46,3.08,1.11
Image_7286,384,90,65,76,5.73,0.72
Image_7132,384,62,139,93,4.06,2.24
Image_6799,384,60,44,51,3.86,0.73
Image_6907,384,46,49,47,2.84,1.07
Image_7419,384,28,43,35,2.45,1.54
Image_7292,384,49,32,40,1.89,0.65
Image_7321,384,28,36,32,2.08,1.29
Image_7138,384,32,44,38,2.67,1.38
Image_7445,384,34,37,35,2.15,1.09
Image_7178,384,55,36,44,2.04,0.65
Image_7111,384,34,43,38,2.23,1.26
Image_6934,384,45,54,49,4.69,1.2
Image_6793,384,53,34,42,2.5,0.64
Image_7183,384,35,36,35,1.64,1.03
Image_6888,384,21,23,22,2.24,1.1
Image_7204,384,42,43,42,3.34,1.02
Image_7349,384,42,37,39,2.79,0.88
Image_7287,384,43,38,40,4.11,0.88
Image_6830,384,30,51,39,3.42,1.7
Image_7647,384,49,42,45,5.0,0.86
Image_7104,384,10,34,18,1.82,3.4
Image_7576,384,21,33,26,3.98,1.57
Image_7519,384,53,75,63,6.73,1.42
Image_7306,384,51,61,56,3.92,1.2
Image_7578,384,22,39,29,3.45,1.77
Image_6864,384,33,49,40,2.24,1.48
Image_7606,384,50,58,54,4.61,1.16
Image_6900,384,28,46,36,4.62,1.64
Image_7457,384,15,60,30,1.72,4.0
Image_6716,384,23,104,49,3.28,4.52
Image_7686,384,13,62,28,2.69,4.77
Image_7375,384,10,50,22,1.67,5.0
Image_7259,384,15,79,34,3.46,5.27
Image_6914,384,25,86,46,3.55,3.44
Image_6777,384,18,71,36,2.55,3.94
Image_7482,384,16,80,36,2.72,5.0
Image_7016,384,16,82,36,2.53,5.12
Image_7086,384,28,126,59,3.04,4.5
Image_7020,384,24,102,49,2.26,4.25
Image_7446,384,29,98,53,2.64,3.38
Image_7237,384,62,4,16,0.97,0.06
Image_7448,384,60,11,26,1.19,0.18
Image_7018,384,23,28,25,1.13,1.22
Image_7494,384,58,71,64,3.81,1.22
Image_7297,384,67,73,70,4.65,1.09
Image_7309,384,109,22,49,1.57,0.2
Image_7667,384,91,24,47,2.21,0.26
Image_7431,384,79,19,39,2.37,0.24
Image_7513,384,193,28,74,2.08,0.15
Image_7191,384,115,28,57,2.13,0.24
Image_6890,384,380,28,103,1.63,0.07
Image_6841,384,47,36,41,2.82,0.77
Image_7383,384,31,55,41,2.05,1.77
Image_7404,384,109,145,126,3.54,1.33
Image_7584,384,69,54,61,3.5,0.78
Image_7085,384,63,113,84,2.23,1.79
Image_7290,384,21,101,46,1.33,4.81
Image_7187,384,28,80,47,1.85,2.86
Image_6909,384,16,32,23,2.64,2.0
Image_7190,384,14,144,45,1.13,10.29
Image_7299,384,16,128,45,1.6,8.0
Image_6995,384,34,39,36,5.3,1.15
Image_7399,384,46,20,30,1.68,0.43
Image_7061,384,15,49,27,2.14,3.27
Image_7288,384,14,56,28,2.16,4.0
Image_7704,384,49,26,36,3.05,0.53
Image_7207,384,60,65,62,2.03,1.08
Image_6824,384,46,39,42,2.79,0.85
Image_7225,384,55,6,18,1.58,0.11
Image_7460,384,51,33,41,2.81,0.65
Image_7706,384,14,28,20,1.19,2.0
Image_7613,384,109,16,42,2.57,0.15
Image_6991,384,30,41,35,2.48,1.37
Image_7508,384,58,87,71,1.62,1.5
Image_7203,384,78,15,34,2.13,0.19
Image_7427,384,76,66,71,4.32,0.87
Image_6933,384,30,31,30,3.08,1.03
Image_7084,384,90,72,80,0.97,0.8
Image_6768,384,13,22,17,1.13,1.69
Image_7105,384,41,39,40,2.14,0.95
Image_7414,384,85,36,55,5.15,0.42
Image_7241,384,18,342,78,4.13,19.0
Image_7081,384,18,375,82,2.97,20.83
Image_7001,384,19,308,76,2.08,16.21
Image_6946,384,205,192,198,6.06,0.94
Image_7392,384,174,28,70,4.09,0.16
Image_7245,384,26,368,98,2.69,14.15
Image_7533,384,22,110,49,3.86,5.0
Image_7702,384,44,264,108,3.5,6.0
Image_7163,384,60,109,81,2.41,1.82
Image_6758,384,30,131,63,6.82,4.37
Image_6819,384,83,103,92,5.5,1.24
Image_7587,384,69,189,114,9.13,2.74
Image_7618,384,76,131,100,10.07,1.72
Image_7374,384,29,110,56,3.78,3.79
Image_7509,384,261,19,70,2.63,0.07
Image_7055,384,292,25,85,4.12,0.09
Image_6737,384,286,14,63,3.15,0.05
Image_7394,384,178,15,52,2.49,0.08
Image_7325,384,165,17,53,4.09,0.1
Image_7165,384,75,10,27,3.07,0.13
Image_7372,384,155,16,50,3.26,0.1
Image_7499,384,297,16,69,3.36,0.05
Image_7217,384,269,12,57,3.74,0.04
Image_7157,384,179,18,57,1.82,0.1
Image_7556,384,205,10,45,3.4,0.05
Image_7631,384,265,21,75,2.01,0.08
Image_6854,384,191,19,60,1.96,0.1
Image_7058,384,105,65,83,3.48,0.62
Image_6832,384,192,20,62,2.15,0.1
Image_6797,384,198,22,66,5.2,0.11
Image_6759,384,77,70,73,4.74,0.91
Image_7231,384,143,29,64,3.26,0.2
Image_7113,384,62,66,64,5.26,1.06
Image_7516,384,119,26,56,4.98,0.22
Image_6724,384,77,23,42,2.19,0.3
Image_7127,384,30,51,39,1.82,1.7
Image_7264,384,29,320,96,4.73,11.03
Image_6987,384,40,59,49,2.5,1.48
Image_6947,384,35,59,45,2.49,1.69
Image_7616,384,17,255,66,4.93,15.0
Image_6977,384,32,51,40,2.05,1.59
Image_7041,384,75,112,92,3.26,1.49
Image_6773,384,41,34,37,2.85,0.83
Image_7354,384,87,72,79,2.03,0.83
Image_7009,384,36,25,30,1.31,0.69
Image_7333,384,64,88,75,2.59,1.38
Image_7377,384,36,67,49,1.82,1.86
Image_7430,384,46,43,44,3.48,0.93
Image_7502,384,102,87,94,5.21,0.85
Image_6821,384,72,66,69,2.02,0.92
Image_7199,384,42,35,38,1.84,0.83
Image_6891,384,80,76,78,1.84,0.95
Image_7094,384,25,48,35,1.34,1.92
Image_6905,384,105,41,66,2.8,0.39
Image_6791,384,42,13,23,1.37,0.31
Image_6941,384,66,20,36,2.17,0.3
Image_6718,384,30,39,34,2.62,1.3
Image_7570,384,49,10,22,1.59,0.2
Image_7380,384,34,40,37,2.56,1.18
Image_6807,384,38,13,22,1.19,0.34
Image_7492,384,38,51,44,2.15,1.34
Image_6795,384,44,15,26,2.06,0.34
Image_7110,384,44,53,48,2.87,1.2
Image_7681,384,41,59,49,2.7,1.44
Image_6978,384,51,34,42,3.39,0.67
Image_7323,384,112,25,53,2.24,0.22
Image_7642,384,43,58,50,4.83,1.35
Image_6910,384,59,54,56,3.32,0.92
Image_7137,384,72,21,39,1.54,0.29
Image_7623,384,117,18,46,2.13,0.15
Image_7087,384,76,19,38,1.76,0.25
Image_7139,384,348,23,89,2.64,0.07
Image_7712,384,180,14,50,2.16,0.08
Image_6881,384,79,12,31,1.13,0.15
Image_7674,384,81,25,45,2.86,0.31
Image_7045,384,104,55,76,9.73,0.53
