,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
0,Image_7645,384,24,3,43,145,94,5.91,70,3.37,0.62,0.75,23.0,0.4
1,Image_7095,384,24,3,35,116,76,3.4,52,3.31,0.3,0.56,21.0,0.4
2,Image_7661,384,24,3,30,41,36,3.7,12,1.37,0.33,0.53,18.0,0.3
3,Image_7662,384,24,3,47,35,41,3.97,17,1.34,0.27,0.54,11.0,0.2
4,Image_6661,384,24,3,11,12,12,0.71,12,1.09,0.24,0.67,72.0,0.3
5,Image_6660,384,24,3,279,30,154,2.16,130,9.3,0.33,0.92,5.0,0.5
6,Image_6659,384,24,3,40,323,182,2.49,158,8.07,0.18,0.8,2.0,0.4
7,Image_6658,384,24,3,15,9,12,1.7,12,1.67,0.0,0.65,0.0,0.2
8,Image_6657,384,24,3,25,25,25,7.83,1,1.0,0.12,0.56,13.0,0.2
9,Image_6656,384,24,3,29,30,30,2.13,6,1.03,0.12,0.46,13.0,0.1
10,Image_6655,384,24,3,9,73,41,1.47,17,8.11,0.71,0.49,100.0,0.9
11,Image_6653,384,24,3,17,21,19,1.48,5,1.24,0.06,0.54,21.0,0.1
12,Image_6652,384,24,3,41,79,60,1.73,36,1.93,0.21,0.45,9.0,0.2
13,Image_6651,384,24,3,40,151,96,5.4,72,3.77,0.06,0.76,1.0,0.7
14,Image_6650,384,24,3,75,90,82,4.31,58,1.2,0.54,0.35,7.0,0.6
15,Image_6649,384,24,3,17,46,32,18.54,8,2.71,0.77,0.38,47.0,0.5
16,Image_6648,384,24,3,20,19,20,1.09,4,1.05,0.17,0.63,7.0,0.4
17,Image_6645,384,24,3,34,32,33,2.78,9,1.06,0.22,0.46,10.0,0.1
18,Image_6644,384,24,3,6,12,9,0.71,15,2.0,0.09,0.79,51.0,0.2
19,Image_5944,384,24,3,40,57,48,2.85,24,1.43,0.0,0.44,0.0,0.4
20,Image_5940,384,24,3,78,79,78,13.21,54,1.01,0.08,0.41,2.0,0.4
21,Image_5939,384,24,3,83,133,108,18.67,84,1.6,0.2,0.63,2.0,0.4
22,Image_5938,384,24,3,57,88,72,6.97,48,1.54,0.4,0.55,21.0,0.3
23,Image_5936,384,24,3,54,69,62,2.19,38,1.28,0.05,0.37,1.0,0.2
24,Image_5934,384,24,3,61,84,72,7.26,48,1.38,0.39,0.54,11.0,0.4
25,Image_5933,384,24,3,79,44,62,6.98,38,1.8,0.48,0.63,11.0,0.5
26,Image_5932,384,24,3,99,64,82,4.21,58,1.55,0.39,0.46,13.0,0.3
27,Image_5931,384,24,3,86,137,112,8.67,88,1.59,0.1,0.73,1.0,0.7
28,Image_5930,384,24,3,65,71,68,2.72,44,1.09,0.61,0.68,22.0,0.6
29,Image_5929,384,24,3,32,57,44,3.11,20,1.78,0.16,0.44,15.0,0.1
30,Image_5926,384,24,3,42,73,58,1.05,34,1.74,0.0,0.52,0.0,0.3
31,Image_5925,384,24,3,138,98,118,19.77,94,1.41,0.27,0.56,8.0,0.6
32,Image_5924,384,24,3,101,103,102,6.4,78,1.02,0.41,0.57,11.0,0.6
33,Image_5923,384,24,3,81,68,74,3.3,50,1.19,0.62,0.66,21.0,0.7
34,Image_5922,384,24,3,26,36,31,0.94,7,1.38,0.33,0.65,17.0,0.4
35,Image_5921,384,24,3,51,76,64,1.82,40,1.49,0.38,0.52,18.0,0.3
36,Image_5918,384,24,3,72,53,62,3.25,38,1.36,0.2,0.54,3.0,0.5
37,Image_5917,384,24,3,53,74,64,1.57,40,1.4,0.37,0.61,7.0,0.4
38,Image_5915,384,24,3,49,56,52,2.87,28,1.14,0.33,0.56,6.0,0.4
39,Image_5602,384,24,3,54,74,64,1.57,40,1.37,0.4,0.53,14.0,0.6
40,Image_5601,384,24,3,54,74,64,1.67,40,1.37,0.29,0.52,9.0,0.6
41,Image_5600,384,24,3,21,24,22,1.05,2,1.14,0.12,0.49,21.0,0.2
42,Image_5598,384,24,3,58,79,68,1.71,44,1.36,0.56,0.65,29.0,0.8
43,Image_5596,384,24,3,35,49,42,4.73,18,1.4,0.23,0.52,12.0,0.3
44,Image_5595,384,24,3,69,92,80,4.59,56,1.33,0.0,0.54,0.0,0.4
45,Image_5594,384,24,3,60,77,68,2.89,44,1.28,0.64,0.74,27.0,0.8
46,Image_5593,384,24,3,49,65,57,3.83,33,1.33,0.39,0.53,15.0,0.6
47,Image_5592,384,24,3,37,21,29,1.18,5,1.76,0.22,0.49,26.0,0.2
48,Image_5591,384,24,3,65,47,56,2.98,32,1.38,0.45,0.56,26.0,0.4
49,Image_5590,384,24,3,74,102,88,7.77,64,1.38,0.29,0.47,7.0,0.3
50,Image_5588,384,24,3,36,42,39,2.51,15,1.17,0.34,0.53,25.0,0.3
51,Image_5587,384,24,3,57,72,64,2.1,40,1.26,0.45,0.56,13.0,0.6
52,Image_5585,384,24,3,44,59,52,3.3,28,1.34,0.48,0.58,29.0,0.6
53,Image_5584,384,24,3,37,27,32,3.11,8,1.37,0.33,0.54,25.0,0.5
54,Image_5583,384,24,3,52,68,60,2.11,36,1.31,0.2,0.46,3.0,0.3
55,Image_5582,384,24,3,37,38,38,2.05,14,1.03,0.24,0.38,9.0,0.4
56,Image_5581,384,24,3,72,101,86,4.3,62,1.4,0.5,0.71,8.0,0.5
57,Image_5580,384,24,3,42,48,45,1.94,21,1.14,0.35,0.59,23.0,0.25
58,Image_5576,384,24,3,44,48,46,4.38,22,1.09,0.29,0.58,27.0,0.5
59,Image_5575,384,24,3,69,73,71,3.01,47,1.06,0.33,0.55,3.0,0.8
60,Image_5574,384,24,3,20,21,20,1.09,4,1.05,0.24,0.52,29.0,0.2
61,Image_5573,384,24,3,42,43,42,2.25,18,1.02,0.16,0.4,5.0,0.2
62,Image_5572,384,24,3,60,96,78,7.49,54,1.6,0.29,0.49,2.0,0.4
63,Image_5571,384,24,3,51,65,58,1.59,34,1.27,0.29,0.48,8.0,0.6
64,Image_5568,384,24,3,38,49,44,9.86,20,1.29,0.3,0.54,13.0,0.5
65,Image_5567,384,24,3,45,41,43,6.13,19,1.1,0.34,0.53,26.0,0.35
66,Image_5566,384,24,3,60,74,67,9.57,43,1.23,0.08,0.35,3.0,0.3
67,Image_5563,384,24,3,17,12,14,2.03,10,1.42,0.21,0.69,50.0,0.3
